collector_fullname,geometry.type,geometry.coordinates,observation_subject,sample_id,qfield_project,id,date_created,comment_eco
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000044,sbl_20004,70143,2025-04-14T16:02:38.919Z,P2+ D
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000043,sbl_20004,70142,2025-04-14T16:02:38.895Z,P2 + C
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000042,sbl_20004,70141,2025-04-14T16:02:38.871Z,P2 + B
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000040,sbl_20004,70140,2025-04-14T16:02:38.847Z,P2+ A
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000039,sbl_20004,70139,2025-04-14T16:02:38.821Z,P2- D
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000038,sbl_20004,70138,2025-04-14T16:02:38.794Z,P2 - C
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000037,sbl_20004,70137,2025-04-14T16:02:38.771Z,P2 - B
Chloé Blanc,Point,"[7.155420363763616,46.793195875904416]",Whole organism,tp24_000046,sbl_20004,70136,2025-04-14T16:02:38.746Z,P2 - A
Chloé Blanc,Point,"[7.155427895485564,46.79321026313527]",other,tp24_000041,sbl_20004,70135,2025-04-14T16:02:38.718Z,Control -
Chloé Blanc,Point,"[7.155435516818078,46.79320766965421]",other,tp24_000036,sbl_20004,70134,2025-04-14T16:02:38.691Z,Control + CO
