row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_000036_01_01.mzML Peak area,20250402_PMA_tp24_000037_01_01.mzML Peak area,20250402_PMA_tp24_000038_01_02.mzML Peak area,20250402_PMA_tp24_000039_01_01.mzML Peak area,20250402_PMA_tp24_000040_01_01.mzML Peak area,20250402_PMA_tp24_000041_01_01.mzML Peak area,20250402_PMA_tp24_000042_01_01.mzML Peak area,20250402_PMA_tp24_000043_01_01.mzML Peak area,20250402_PMA_tp24_000044_01_01.mzML Peak area,20250402_PMA_tp24_000046_01_01.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_00.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_01.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_02.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_03.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_04.mzML Peak area,Unnamed: 32
1,139.98245340947824,0.08405816,height,,,,,,,,,,,12107145.0,13826909.0,11506990.0,11634202.0,14209265.0,13667402.0,12513960.0,13770815.0,11674192.0,12488014.0,11812608.0,12332001.0,17042068.0,18041514.0,11969453.0,12604886.0,11483170.0,13496896.0,12725929.0,
2,139.98247178624123,0.15014562,height,,,,,,,,,,,12107145.0,13992002.0,12232477.0,11531256.0,14209265.0,11423513.0,13081960.0,13770815.0,12506511.0,12425557.0,11812608.0,12332001.0,17668204.0,18041514.0,14571150.0,12604886.0,12566141.0,13496896.0,12153260.0,
3,217.959794729314,0.19420336,height,,,,,,,,,,,1350426.9,1563964.8,1411742.1,1377697.1,1411999.0,1339566.0,1572144.5,1585931.8,1435621.4,1415757.8,1456384.2,1438134.8,1549509.4,1791462.8,1553869.8,1335163.6,1346739.1,0.0,1424537.1,
4,137.987302358171,0.17975847,height,,,,,,,,,,,1830776.9,2200676.5,1758750.5,1955728.0,2024781.0,1862735.1,2291119.5,2121206.8,1793389.8,1958830.8,1836780.6,1837639.6,2815610.0,2708595.8,2376765.0,1963658.5,2034193.2,1997426.5,1796495.2,
5,217.9598398655038,0.2823514,height,,,,,,,,,,,1427760.6,1409342.4,1444304.8,1412757.9,1466650.0,1311744.2,1386467.4,1304285.0,1360157.0,1365963.4,1502343.4,1444983.2,1581118.6,1791462.8,1553869.8,1228648.2,1346739.1,1583452.1,1478293.8,
6,139.9824935008386,0.29572558,height,,,,,,,,,,,12777249.0,12713505.0,12232477.0,13069022.0,12971697.0,0.0,12689088.0,11717887.0,12467507.0,11369242.0,12658098.0,12003800.0,17176032.0,16302647.0,13809838.0,11256380.0,11656186.0,13700099.0,12193501.0,
7,255.95225052611605,0.33298627,height,,,,,,,,,,,403543.88,181238.56,470437.28,0.0,0.0,204737.86,165700.98,196856.61,222376.75,163323.34,2933115.8,2856316.5,2445771.8,2249959.8,380588.72,0.0,344934.9,365302.62,283099.6,
8,143.0398110044336,0.3311559,height,,,,,,,,,,,934752.5,438805.78,1179296.9,414516.12,417982.88,498562.9,452335.62,0.0,719483.1,397477.97,9231532.0,8375097.5,9333955.0,8614095.0,969409.9,900152.5,866865.56,998647.56,1006131.75,
9,130.0082587707344,0.33803618,height,,,,,,,,,,,1543935.2,738680.56,1787400.5,664725.7,692685.75,778699.1,648686.56,719046.2,1121000.2,553682.2,15344415.0,13214390.0,14202268.0,13557126.0,1562215.1,1806992.2,1528131.5,1569833.9,1464379.4,
10,158.0031654042011,0.32822144,height,,,,,,,,,,,1928185.8,869458.3,2299220.0,797757.06,829076.9,993999.5,791685.56,1026649.1,1263437.8,756997.0,20133368.0,17068898.0,17395940.0,16766091.0,1932016.0,1895519.0,1888765.5,1964828.9,1750608.5,
