SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00000578029	172	spectra_filtered.mgf	GNPS-EMBL-MCF.mgf	0.976654	38844000.0	0	15.2531	6	0.00408936	268.104	1	temp/spectra_filtered.mgf172	1	ADENOSINE	LC-ESI	Q-Exactive Plus	Commercial standard	Alexandrov Theodore	Prasad	M+H	268.1	267.097	0	58-61-7	60961	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)	N/A	1	Positive	GNPS-EMBL-MCF	268.1	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H13N5O4	OIRDTQYFTABQOQ-UHFFFAOYSA-N	OIRDTQYFTABQOQ	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000578029
CCMSLIB00000842059	1430	spectra_filtered.mgf	MASSBANKEU.mgf	0.976165	1315920.0	0	6.16812	6	0.00164795	267.174	1	temp/spectra_filtered.mgf1430	1	MassbankEU:SM880801 Tri-isobutylphosphate|Triisobutyl phosphate|Tris(2-methylpropyl) phosphate	ESI	LC-ESI-QFT	Isolated	Massbank EU	Massbank	[M+H]+	267.172	0.0	1	126-71-6	N/A	CC(C)COP(=O)(OCC(C)C)OCC(C)C	1S/C12H27O4P/c1-10(2)7-14-17(13,15-8-11(3)4)16-9-12(5)6/h10-12H,7-9H2,1-6H3	N/A	3	Positive	MASSBANKEU	267.172	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H27O4P	HRKAMJBPFPHCSD-UHFFFAOYSA-N	HRKAMJBPFPHCSD	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters			Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000842059
CCMSLIB00000220666	376	spectra_filtered.mgf	MASSBANK.mgf	0.975343	512073.0	0	475.33	6	0.0974426	205.097	1	temp/spectra_filtered.mgf376	1	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	205.0	0.0	1	73-22-3	N/A	OC(=O)[C@H](N)Cc(c1)c(c2)c(ccc2)n1	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	MASSBANK	205.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000220666
CCMSLIB00003139107	1185	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.975171	23213800.0	0	7.50378	8	0.00187683	250.12	1	temp/spectra_filtered.mgf1185	1	Spectral Match to 2,4,6-Triallyloxy-1,3,5-triazine from NIST14	ESI	HCD	Isolated	Data from Pieter C. Dorrestein	Data deposited by daniel	M+H	250.118	0.0	1	101371	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	250.118	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139107
CCMSLIB00003136445	1470	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.973223	1485560.0	0	1.59914	7	0.000427246	267.173	1	temp/spectra_filtered.mgf1470	1	Spectral Match to Tributyl phosphate from NIST14	ESI	QQQ	Isolated	Data from Maria Maansson	Data deposited by marjo	M+H	267.173	266.165	1	126738	N/A	CCCCOP(=O)(OCCCC)OCCCC	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	N/A	3	Positive	GNPS-NIST14-MATCHES	267.173	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H27O4P	STCOOQWBFONSKY-UHFFFAOYSA-N	STCOOQWBFONSKY	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters			Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136445
CCMSLIB00005463896	1211	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.973156	2321190.0	0	164.903	6	0.0684814	415.214	1	temp/spectra_filtered.mgf1211	1	DEOXYCHOLATE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+Na	415.282	392.293	1	302-95-4	222528.0	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C	InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1	N/A	1	Positive	GNPS-MSMLS	415.282	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C24H40O4	KXGVEGMKQFWNSR-LLQZFEROSA-N	KXGVEGMKQFWNSR	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Steroids	Cholane steroids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463896
CCMSLIB00010103061	174	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.973141	861585.0	0	0.79243	13	0.000244141	308.091	1	temp/spectra_filtered.mgf174	1	glutathione CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	308.091	0.0	1	N/A	N/A	N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O	"""InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1"""	N/A	3	Positive	BERKELEY-LAB	308.091	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H17N3O6S	RWSXRVCMGQZWBV-WDSKDSINSA-N	RWSXRVCMGQZWBV	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010103061
CCMSLIB00003139580	386	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.972922	417506.0	0	2.9043	7	0.000671387	231.171	1	temp/spectra_filtered.mgf386	1	Spectral Match to Val-Leu from NIST14	ESI	QQQ	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	231.17	230.163	1	3989977	N/A	CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N	InChI=1S/C11H22N2O3/c1-6(2)5-8(11(15)16)13-10(14)9(12)7(3)4/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t8-,9-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	231.17	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C11H22N2O3	XCTHZFGSVQBHBW-IUCAKERBSA-N	XCTHZFGSVQBHBW	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139580
CCMSLIB00003134614	391	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.971854	5915550.0	0	1.29323	7	0.000366211	283.175	1	temp/spectra_filtered.mgf391	1	Spectral Match to Hexaethylene glycol from NIST14	ESI	qTof	Isolated	Data from Rob Knight 	Data deposited by amelnik	M+H	283.175	282.168	1	2615158	N/A	C(COCCOCCOCCOCCOCCO)O	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	N/A	3	Positive	GNPS-NIST14-MATCHES	283.175	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H26O7	IIRDTKBZINWQAW-UHFFFAOYSA-N	IIRDTKBZINWQAW	Organic oxygen compounds	Organooxygen compounds	Ethers	Glycerolipids	Monoacylglycerols	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003134614
CCMSLIB00003139107	1176	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.970962	8857520.0	0	7.6258	8	0.00190735	250.12	1	temp/spectra_filtered.mgf1176	1	Spectral Match to 2,4,6-Triallyloxy-1,3,5-triazine from NIST14	ESI	HCD	Isolated	Data from Pieter C. Dorrestein	Data deposited by daniel	M+H	250.118	0.0	1	101371	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	250.118	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139107
