cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:control_positive	ATTRIBUTE_condition:GNPSGROUP:P2_negative	ATTRIBUTE_condition:GNPSGROUP:P2_positive	ATTRIBUTE_condition:GNPSGROUP:control_negative	ATTRIBUTE_condition:GNPSGROUP:nan	component	#Scan#	Compound_Name
1	139.98245340947824	0.08405816	12107145.0	12364028.75	13042058.0	13667402.0		28		
2	139.98247178624123	0.15014562	12107145.0	12545323.0	13392137.75	11423513.0		28		
3	217.959794729314	0.19420336	1350426.9	1442290.45	1501424.1749999998	1339566.0		28		
4	137.987302358171	0.17975847	1830776.9	1968496.45	2057624.275	1862735.1		31		
5	217.9598398655038	0.2823514	1427760.6	1408092.125	1379389.85	1311744.2		28		
6	139.9824935008386	0.29572558	12777249.0	12346061.5	12461544.75	0.0		26		
7	255.95225052611605	0.33298627	403543.88	203749.795	146233.585	204737.86		28		
8	143.0398110044336	0.3311559	934752.5	607524.1924999999	397450.4	498562.9		31		
9	130.0082587707344	0.33803618	1543935.2	936122.24	795354.6775	778699.1		-1		
10	158.0031654042011	0.32822144	1928185.8	1180858.09	977712.34	993999.5		44		
11	148.01878612969276	0.3313722	507079.44	304463.405	273310.2775	278236.6		104		
12	176.013751124148	0.330199	397473.34	211045.1725	130530.4475	190835.95		44	12.0	CITRULLINE - 40.0 eV
13	199.029774279012	0.33243716	319164.12	155192.78499999997	127547.8575	0.0		44		
14	267.90196160042325	0.3351013	8305425.5	5724684.125	6296815.125	5647086.0		28		
15	231.97113826970417	0.34815574	0.0	0.0	0.0	0.0		28		
16	146.16542194287246	0.34862772	0.0	45492372.275	38566115.625	55191092.0		-1		
17	129.13886122836462	0.34959257	0.0	6766285.0	5728007.775	8247618.0		-1		
18	251.9295965001241	0.34621793	974142.7	1569401.0	1386198.0	2012502.8		28		
19	139.98759909381806	0.31627136	1222346.4	997279.825	1000909.45	1231030.2		-1		
20	235.95217445736344	0.34662694	315109.78	843434.6725	949959.315	1339392.8		28		
21	157.989220227389	0.35627547	0.0	0.0	0.0	0.0		44		
