CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
574	599	1	0.7213	0.000
1361	1363	2	0.8992	-0.000
1363	1552	2	0.7701	-2.016
1363	1688	2	0.7451	-2.015
1352	1688	2	0.7863	-28.031
1352	1693	2	0.8176	-28.032
1352	1709	2	0.7886	-28.028
1405	1552	2	0.7528	-2.016
1408	1552	2	0.8105	-2.016
1527	1552	2	0.9395	0.000
1552	1554	2	0.8936	0.000
1554	1642	2	0.7462	-0.000
1642	1643	2	0.9614	0.000
1642	1688	2	0.7441	0.000
1642	1693	2	0.7544	-0.000
1528	1533	2	0.9323	0.000
1528	1709	2	0.7809	-2.012
1533	1709	2	0.7933	-2.012
1688	1709	2	0.8838	0.003
1693	1709	2	0.901	0.004
1533	1688	2	0.7531	-2.016
1533	1693	2	0.7503	-2.016
1405	1408	2	0.9514	0.000
1408	1527	2	0.7766	-2.016
1408	1554	2	0.798	-2.016
1688	1693	2	0.9318	-0.000
1405	1554	2	0.7592	-2.016
1527	1554	2	0.88	0.001
488	793	3	0.9781	-0.000
742	793	3	0.9873	0.000
793	894	3	0.9853	0.000
793	1039	3	0.9987	-0.001
793	1062	3	0.9879	-0.001
793	1091	3	0.9914	-0.001
793	1151	3	0.994	-0.001
793	1187	3	0.9895	-0.001
572	861	3	0.9857	-0.000
706	861	3	0.9826	-0.000
861	941	3	0.9905	-0.000
861	994	3	0.9889	-0.000
861	1019	3	0.9891	-0.000
861	1113	3	0.9868	-0.001
1562	1595	3	0.963	0.000
1574	1595	3	0.9926	0.000
295	477	3	0.7035	90.141
398	488	3	0.9713	-0.000
433	488	3	0.9846	-0.000
488	517	3	0.9777	0.000
488	894	3	0.9935	-0.000
488	922	3	0.9794	-0.000
488	951	3	0.9858	0.000
383	1274	3	0.9746	-0.001
572	1274	3	0.9822	-0.001
941	1274	3	0.9872	-0.001
994	1274	3	0.9883	-0.001
1019	1274	3	0.9859	-0.001
1113	1274	3	0.9909	0.000
572	1091	3	0.9797	-0.001
1039	1091	3	0.9898	-0.000
1062	1091	3	0.9908	0.000
1091	1113	3	0.9866	-0.000
1091	1151	3	0.9918	0.000
1091	1187	3	0.9879	0.000
706	742	3	0.9891	-0.000
742	941	3	0.9866	0.000
742	994	3	0.9841	-0.000
742	1019	3	0.9857	-0.000
742	1039	3	0.9836	-0.001
742	1062	3	0.9877	-0.001
742	1151	3	0.9833	-0.001
742	1187	3	0.9833	-0.001
412	885	3	0.9499	-0.077
872	885	3	0.9621	-0.077
885	898	3	0.9885	0.000
885	951	3	0.9648	0.077
885	1562	3	0.9386	-0.001
894	1039	3	0.9819	-0.001
951	1039	3	0.9761	-0.001
1039	1151	3	0.9951	-0.000
1039	1187	3	0.988	0.000
302	338	3	0.997	0.000
302	350	3	0.9881	0.000
302	398	3	0.9748	-0.000
302	412	3	0.9547	-0.000
302	433	3	0.982	-0.000
338	433	3	0.9869	-0.000
350	433	3	0.9731	-0.000
398	433	3	0.9903	-0.000
433	894	3	0.9902	-0.000
433	922	3	0.9764	-0.000
433	951	3	0.9765	-0.000
350	545	3	0.9625	-0.000
412	545	3	0.979	-0.000
517	545	3	0.9736	0.000
545	872	3	0.9741	-0.000
545	898	3	0.9541	-0.077
572	1019	3	0.9888	-0.000
706	1019	3	0.9901	-0.000
941	1019	3	0.9989	-0.000
994	1019	3	0.9994	0.000
1019	1062	3	0.9955	-0.001
1019	1113	3	0.9956	-0.001
1019	1151	3	0.9842	-0.001
350	898	3	0.9566	-0.077
517	898	3	0.9834	-0.077
872	898	3	0.9759	-0.077
898	951	3	0.9679	0.077
572	941	3	0.9906	-0.000
706	941	3	0.9877	-0.000
941	994	3	0.9989	-0.000
941	1062	3	0.997	-0.001
941	1113	3	0.998	-0.001
941	1151	3	0.9867	-0.001
894	1187	3	0.9896	-0.001
1062	1187	3	0.9923	0.000
1151	1187	3	0.9846	0.000
338	922	3	0.967	-0.000
517	922	3	0.9701	-0.000
894	922	3	0.9853	-0.000
922	951	3	0.9712	0.000
338	350	3	0.9876	0.000
350	398	3	0.9684	-0.000
350	412	3	0.9706	-0.000
350	517	3	0.9765	-0.000
350	872	3	0.9698	-0.000
517	951	3	0.9728	0.000
894	951	3	0.9855	0.000
383	398	3	0.9774	0.000
383	572	3	0.9868	-0.000
398	894	3	0.9771	-0.000
477	1562	3	0.8619	0.944
1562	1574	3	0.9682	0.000
994	1151	3	0.9843	-0.001
1062	1151	3	0.9902	0.000
1113	1151	3	0.9885	0.000
338	398	3	0.9793	-0.000
412	872	3	0.9632	-0.000
517	872	3	0.981	-0.000
706	994	3	0.9896	-0.000
706	1113	3	0.9838	-0.001
338	517	3	0.9729	-0.000
572	1062	3	0.9891	-0.001
994	1062	3	0.9949	-0.001
1062	1113	3	0.9947	-0.000
572	1113	3	0.9894	-0.001
994	1113	3	0.9969	-0.001
572	994	3	0.9876	-0.000
2798	2826	4	0.9629	0.000
1884	1890	6	0.9512	0.000
1887	1890	6	0.9445	-0.005
1890	1895	6	0.9362	-0.846
1890	1898	6	0.9241	-0.852
1890	1901	6	0.944	-0.851
2175	2177	6	0.9179	44.026
2177	2179	6	0.9508	0.000
1918	1935	6	0.9223	88.054
1935	1941	6	0.9209	44.026
1935	1943	6	0.9271	44.026
1935	2171	6	0.9237	-28.034
1884	1898	6	0.9324	-0.851
1887	1898	6	0.9209	-0.857
1895	1898	6	0.9625	-0.005
1898	1901	6	0.9583	0.000
1839	1930	6	0.9307	-132.079
1918	1930	6	0.9545	44.028
1929	1930	6	0.9521	0.000
1930	1936	6	0.9514	44.033
1930	1938	6	0.9342	44.026
1930	1941	6	0.9404	88.052
1930	1943	6	0.9434	88.053
1930	1947	6	0.9313	88.059
1930	2167	6	0.9314	-28.036
1930	2168	6	0.943	-28.035
1918	1943	6	0.931	132.080
1919	1943	6	0.92	132.072
1921	1943	6	0.9262	132.080
1931	1943	6	0.92	88.046
1938	1943	6	0.9253	44.026
1941	1943	6	0.9238	0.000
1943	1947	6	0.9232	0.006
1943	1974	6	0.9314	88.053
1834	2042	6	0.9259	-14.018
2042	2043	6	0.9202	0.010
2042	2049	6	0.9242	0.001
2042	2051	6	0.9198	44.027
2042	2056	6	0.9513	88.054
2042	2062	6	0.9249	132.080
1839	1954	6	0.9137	-0.001
1954	1961	6	0.9375	0.006
1954	1966	6	0.9387	0.000
1713	1715	6	0.9231	44.026
1715	1724	6	0.9376	88.052
1715	1834	6	0.9171	-0.001
1715	1840	6	0.9304	88.051
2075	2141	6	0.9381	-14.018
2076	2141	6	0.9366	-14.017
2121	2141	6	0.9326	44.026
2128	2141	6	0.9378	88.053
2141	2143	6	0.9345	0.000
2141	2148	6	0.9387	44.027
2141	2156	6	0.9266	88.053
1733	2143	6	0.937	-28.034
1873	2143	6	0.9356	-28.040
2075	2143	6	0.943	-14.018
2076	2143	6	0.9546	-14.017
2113	2143	6	0.9306	88.054
2121	2143	6	0.935	44.027
2124	2143	6	0.9291	132.080
2128	2143	6	0.9325	88.054
2143	2148	6	0.9465	44.026
1831	1972	6	0.9542	-0.000
1839	1972	6	0.9297	44.026
1938	1972	6	0.9235	132.079
1941	1972	6	0.9245	88.053
1947	1972	6	0.9151	88.047
1972	1973	6	0.9317	0.005
1972	1974	6	0.9488	0.000
1918	2386	6	0.933	-56.066
1921	2386	6	0.9189	-56.067
2380	2386	6	0.9238	44.026
2384	2386	6	0.9239	-0.004
1736	2156	6	0.9434	-28.034
1884	2156	6	0.9213	-28.034
2078	2156	6	0.9543	-14.017
2121	2156	6	0.9288	132.080
2148	2156	6	0.9373	44.027
2150	2156	6	0.9382	44.026
2155	2156	6	0.9628	0.000
2156	2162	6	0.9493	44.027
1733	2075	6	0.9522	-14.016
1871	2075	6	0.9294	-14.016
1873	2075	6	0.9562	-14.022
2062	2075	6	0.9317	88.054
2070	2075	6	0.9333	44.027
2075	2076	6	0.9569	-0.001
2075	2077	6	0.9512	44.026
2075	2078	6	0.9337	88.052
1929	2167	6	0.9235	-28.035
2167	2168	6	0.9281	0.000
2167	2171	6	0.9271	44.028
1892	2162	6	0.9426	-28.034
1893	2162	6	0.918	-28.038
1905	2162	6	0.9432	-28.034
2080	2162	6	0.9366	-14.017
2155	2162	6	0.9292	44.027
2159	2162	6	0.9384	0.000
2162	2196	6	0.9215	-0.000
2384	2392	6	0.926	44.023
1912	1918	6	0.9296	44.026
1918	1919	6	0.9397	0.008
1918	1921	6	0.9439	0.001
1918	1929	6	0.9417	44.027
1918	1936	6	0.9354	88.060
1918	1938	6	0.9207	88.054
1733	1876	6	0.9458	44.026
1735	1876	6	0.9675	0.000
1736	1876	6	0.9497	-44.027
1862	1876	6	0.9439	88.053
1873	1876	6	0.9473	44.020
1875	1876	6	0.9634	0.000
1876	1880	6	0.9622	0.006
1876	2077	6	0.9559	-14.017
1876	2148	6	0.9587	-28.034
1876	2150	6	0.9472	-28.034
