CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	2	-0.000	0.000	0.8721	0.8651	1
1	6	-0.000	0.000	0.8403	0.6664	1
1	19	-0.005	0.000	0.7902	0.6664	1
1	37	1.995	0.000	0.7020	0.6425	1
1	150	0.000	0.000	0.8445	0.6664	1
1	205	-1.976	0.000	0.7507	0.7239	1
1	239	1.995	0.000	0.7156	0.6425	1
1	267	-0.000	0.000	0.8340	0.6664	1
1	279	-0.000	0.000	0.8264	0.6664	1
1	315	-0.000	0.000	0.8569	0.7319	1
1	318	-23.016	0.000	0.7145	0.5998	1
1	340	-0.000	0.000	0.8336	0.6664	1
1	348	-0.000	0.000	0.8320	0.7319	1
1	367	-0.000	0.000	0.8631	0.7608	1
1	370	-0.000	0.000	0.8426	0.7319	1
1	383	-23.016	0.000	0.7477	0.6502	1
1	385	-0.000	0.000	0.7923	0.6745	1
1	404	-0.000	0.000	0.8342	0.7319	1
1	422	-0.000	0.000	0.7895	0.6745	1
1	445	-0.000	0.000	0.8193	0.7319	1
1	490	-0.000	0.000	0.8054	0.6745	1
1	505	-0.000	0.000	0.7923	0.7319	1
1	529	-0.000	0.000	0.8074	0.6745	1
1	568	-0.000	0.000	0.7943	0.6745	1
1	572	-23.016	0.000	0.7609	0.6773	1
1	607	-0.000	0.000	0.8035	0.6745	1
1	629	-0.000	0.000	0.7909	0.6745	1
1	656	-0.000	0.000	0.7986	0.6745	1
1	680	-0.000	0.000	0.7865	0.6745	1
1	684	-0.029	0.000	0.7850	0.6745	1
1	706	-23.016	0.000	0.7729	0.6749	1
1	708	-0.000	0.000	0.7972	0.6745	1
1	729	-0.000	0.000	0.8116	0.7319	1
1	742	-23.016	0.000	0.7459	0.6353	1
1	768	-0.000	0.000	0.8260	0.7319	1
1	781	-0.000	0.000	0.8092	0.6745	1
1	795	-0.000	0.000	0.8017	0.6745	1
1	820	-0.000	0.000	0.7947	0.6745	1
1	843	-0.000	0.000	0.7995	0.6745	1
1	861	-23.016	0.000	0.7739	0.6773	1
1	864	-0.000	0.000	0.7878	0.6745	1
1	893	-0.000	0.000	0.7850	0.6745	1
1	933	-0.000	0.000	0.7975	0.6745	1
1	941	-23.016	0.000	0.7663	0.6709	1
1	948	-0.000	0.000	0.7914	0.6745	1
1	992	-0.000	0.000	0.7813	0.6745	1
1	994	-23.016	0.000	0.7728	0.6767	1
1	1019	-23.016	0.000	0.7776	0.6773	1
1	1021	-0.000	0.000	0.7956	0.6745	1
1	1031	-0.001	0.000	0.7677	0.6745	1
1	1057	-0.001	0.000	0.7708	0.6745	1
1	1062	-23.017	0.000	0.7511	0.6485	1
1	1086	-0.001	0.000	0.7601	0.6745	1
1	1091	-23.017	0.000	0.7201	0.6188	1
1	1113	-23.017	0.000	0.7504	0.6591	1
1	1128	-0.001	0.000	0.7747	0.6745	1
1	1187	-23.017	0.000	0.7069	0.5953	1
1	1274	-23.017	0.000	0.7453	0.6370	1
