CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1435	1503	-0.000	0.000	0.8427	0.7439	1
1435	1616	23.999	0.000	0.8211	0.6566	1
1435	1617	24.000	0.000	0.8194	0.6353	1
1435	2253	-238.236	0.000	0.8715	0.4151	1
1437	1467	45.058	0.000	0.8124	0.4843	1
1437	1470	45.058	0.000	0.8127	0.4850	1
1440	1445	44.026	0.000	0.9333	0.7982	1
1440	1451	88.052	0.000	0.9033	0.7505	1
1440	1455	132.078	0.000	0.8973	0.7624	1
1440	1458	176.104	0.000	0.8614	0.6867	1
1440	1460	220.131	0.000	0.8409	0.6271	1
1440	1462	264.157	0.000	0.8368	0.6469	1
1440	1463	308.184	0.000	0.7661	0.5823	1
1440	1506	132.078	0.000	0.8560	0.6584	1
1440	1510	176.104	0.000	0.8499	0.6723	1
1440	1566	413.263	0.000	0.7113	0.4901	1
1440	1571	308.184	0.000	0.7673	0.6046	1
1440	1572	352.210	0.000	0.7489	0.5329	1
1440	1700	-116.085	0.000	0.7152	0.5892	1
1440	1713	-72.058	0.000	0.7030	0.5509	1
1440	1715	-28.032	0.000	0.7446	0.6216	1
1440	1724	60.020	0.000	0.7032	0.6265	1
1440	1774	-62.018	0.000	0.7896	0.6316	1
1440	1775	-62.008	0.000	0.7772	0.5843	1
1440	1776	-62.018	0.000	0.7868	0.6226	1
1440	1780	-17.992	0.000	0.8031	0.6026	1
1440	1781	-17.983	0.000	0.8054	0.6309	1
1440	1782	-17.991	0.000	0.8251	0.6373	1
1440	1788	26.035	0.000	0.7641	0.5705	1
1440	1790	26.043	0.000	0.7693	0.5952	1
1440	1791	26.035	0.000	0.7703	0.5411	1
1440	1793	70.069	0.000	0.7109	0.4690	1
1440	1795	341.205	0.000	0.7245	0.5169	1
1440	1797	70.062	0.000	0.7091	0.4293	1
1440	1831	280.152	0.000	0.7504	0.5240	1
1440	1834	-28.033	0.000	0.7224	0.5963	1
1440	1835	280.157	0.000	0.7105	0.4858	1
1440	1839	236.126	0.000	0.7834	0.5689	1
1440	1863	148.073	0.000	0.7189	0.5839	1
1440	1912	15.993	0.000	0.8635	0.6767	1
1440	1913	15.993	0.000	0.7112	0.4006	1
1440	1918	60.019	0.000	0.8569	0.6974	1
1440	1919	60.027	0.000	0.8317	0.6678	1
1440	1921	60.020	0.000	0.8517	0.6755	1
1440	1929	104.046	0.000	0.8008	0.5846	1
1440	1930	104.047	0.000	0.8203	0.6603	1
1440	1931	104.053	0.000	0.7915	0.6167	1
1440	1935	148.073	0.000	0.7750	0.5763	1
1440	1936	148.079	0.000	0.7866	0.5976	1
1440	1938	148.073	0.000	0.7861	0.5791	1
1440	1941	192.099	0.000	0.7836	0.6024	1
1440	1943	192.099	0.000	0.7928	0.5743	1
1440	1947	192.105	0.000	0.7401	0.5704	1
1440	1954	236.125	0.000	0.7261	0.4867	1
1440	1961	236.131	0.000	0.7075	0.4617	1
1440	1966	236.125	0.000	0.7144	0.4932	1
1440	1972	280.152	0.000	0.7374	0.5365	1
1440	1973	280.157	0.000	0.7309	0.5460	1
1440	1974	280.152	0.000	0.7491	0.5497	1
1440	1999	341.205	0.000	0.7405	0.5366	1
1440	2042	-42.051	0.000	0.8047	0.7389	1
1440	2043	-42.040	0.000	0.7776	0.6815	1
1440	2049	-42.049	0.000	0.8386	0.8263	1
1440	2051	1.977	0.000	0.7188	0.5657	1
1440	2052	1.976	0.000	0.7214	0.5640	1
1440	2056	46.003	0.000	0.7305	0.6428	1
1440	2167	76.011	0.000	0.7563	0.5170	1
1440	2168	76.011	0.000	0.7968	0.5928	1
