feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
2865	-1							1.0	0.4067521	ISDB									HIMAOQJJMNAYIH							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.6270084381103516	1
2864	381	Terpenoids	1.0	Sesquiterpenoids	1.0	Eudesmane sesquiterpenoids	1.0	1.0	0.40027255	ISDB	http://www.wikidata.org/entity/Q104915052	ANBQZRWVQGYZGU-ABAIWWIYSA-N	InChI=1S/C15H20O2/c1-9(2)11-5-6-15(4)8-13(16)14(17)10(3)12(15)7-11/h8,11,16H,1,5-7H2,2-4H3/t11-,15+/m1/s1	C=C(C)[C@@H]1CC[C@@]2(C)C=C(O)C(=O)C(C)=C2C1	C15H20O2		232.14632988	(4aS,7R)-3-hydroxy-1,4a-dimethyl-7-prop-1-en-2-yl-5,6,7,8-tetrahydronaphthalen-2-one	ANBQZRWVQGYZGU	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q15531484	Nicotiana undulata	210478.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana undulata']											0	3	3.1010901927948	1
2861	244	Terpenoids	0.6666666666666666	Sesquiterpenoids	0.6666666666666666	Protoilludane sesquiterpenoids	0.5333333333333333	3.0	0.2767441	ISDB	http://www.wikidata.org/entity/Q77309747	NKIWJNBJTMMKSE-MALBGOLISA-N	InChI=1S/C33H54O5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)37-25-32-28(35)31(36)24-29(2,3)23-26(31)30(4)21-22-33(30,32)38-32/h12-13,26,36H,5-11,14-25H2,1-4H3/b13-12+/t26-,30-,31+,32-,33+/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@]12O[C@]13CC[C@]3(C)[C@H]1CC(C)(C)C[C@@]1(O)C2=O	C33H54O5		530.397124828	[(1R,2R,5S,7S,9S)-9-hydroxy-2,11,11-trimethyl-8-oxo-6-oxatetracyclo[7.3.0.02,5.05,7]dodecan-7-yl]methyl (E)-octadec-9-enoate	NKIWJNBJTMMKSE	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q3290871	Lactarius atlanticus	87759.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Russulales']	['Russulaceae']	['Unknown']	['Lactarius']	['Lactarius atlanticus']											0	3	2.6069763898849487	1
2859	381	Terpenoids	1.0	Sesquiterpenoids	1.0	Eudesmane sesquiterpenoids	1.0	1.0	0.39927885	ISDB	http://www.wikidata.org/entity/Q104915052	ANBQZRWVQGYZGU-ABAIWWIYSA-N	InChI=1S/C15H20O2/c1-9(2)11-5-6-15(4)8-13(16)14(17)10(3)12(15)7-11/h8,11,16H,1,5-7H2,2-4H3/t11-,15+/m1/s1	C=C(C)[C@@H]1CC[C@@]2(C)C=C(O)C(=O)C(C)=C2C1	C15H20O2		232.14632988	(4aS,7R)-3-hydroxy-1,4a-dimethyl-7-prop-1-en-2-yl-5,6,7,8-tetrahydronaphthalen-2-one	ANBQZRWVQGYZGU	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q15531484	Nicotiana undulata	210478.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana undulata']											0	3	3.097115397453308	1
2857	125	Fatty acids	0.75	Fatty Acids and Conjugates	0.75	Branched fatty acids	0.75	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q422658	TUNFSRHWOTWDNC-UHFFFAOYSA-N	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)	CCCCCCCCCCCCCC(=O)O	C14H28O2	pos_2_1proton1sodium	228.208930136	Myristic acid	TUNFSRHWOTWDNC	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	9	3	10.5	1
2854	122	Amino acids and Peptides	0.07692307692307693	Small peptides	0.07692307692307693	Aminoacids	0.07692307692307693	2.0	0.27895778	ISDB	http://www.wikidata.org/entity/Q105378202	ZJWLHGSPTSANOO-UJURSFKZSA-N	InChI=1S/C6H14N2O3/c1-4(7)2-3-6(8,11)5(9)10/h4,11H,2-3,7-8H2,1H3,(H,9,10)/t4-,6+/m0/s1	C[C@H](N)CC[C@@](N)(O)C(=O)O	C6H14N2O3		162.100442308	(2R,5S)-2,5-diamino-2-hydroxyhexanoic acid	ZJWLHGSPTSANOO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q1111359	Salvia officinalis	820645.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia officinalis']											0	3	2.615831136703491	1
2851	45	Terpenoids	0.2222222222222222	Steroids	0.2222222222222222	Cholestane steroids	0.16666666666666666	1.0	0.8046757	ISDB									IXEUYAHNQXAWNT							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	3.218702793121338	1
2846	13	Terpenoids	0.7297297297297297	Steroids	0.2972972972972973	Pregnane steroids	0.2972972972972973	1.0	0.5181315	ISDB									HIVIDQWZJDRGJQ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.072525978088379	1
2844	-1							2.0	0.27677122	ISDB	http://www.wikidata.org/entity/Q105378202	ZJWLHGSPTSANOO-UJURSFKZSA-N	InChI=1S/C6H14N2O3/c1-4(7)2-3-6(8,11)5(9)10/h4,11H,2-3,7-8H2,1H3,(H,9,10)/t4-,6+/m0/s1	C[C@H](N)CC[C@@](N)(O)C(=O)O	C6H14N2O3		162.100442308	(2R,5S)-2,5-diamino-2-hydroxyhexanoic acid	ZJWLHGSPTSANOO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q1111359	Salvia officinalis	820645.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.10708487033844	1
2841	244	Terpenoids	0.6666666666666666	Sesquiterpenoids	0.6666666666666666	Protoilludane sesquiterpenoids	0.5333333333333333	3.0	0.26821736	ISDB	http://www.wikidata.org/entity/Q77309747	NKIWJNBJTMMKSE-MALBGOLISA-N	InChI=1S/C33H54O5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)37-25-32-28(35)31(36)24-29(2,3)23-26(31)30(4)21-22-33(30,32)38-32/h12-13,26,36H,5-11,14-25H2,1-4H3/b13-12+/t26-,30-,31+,32-,33+/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@]12O[C@]13CC[C@]3(C)[C@H]1CC(C)(C)C[C@@]1(O)C2=O	C33H54O5		530.397124828	[(1R,2R,5S,7S,9S)-9-hydroxy-2,11,11-trimethyl-8-oxo-6-oxatetracyclo[7.3.0.02,5.05,7]dodecan-7-yl]methyl (E)-octadec-9-enoate	NKIWJNBJTMMKSE	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q3290871	Lactarius atlanticus	87759.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Russulales']	['Russulaceae']	['Unknown']	['Lactarius']	['Lactarius atlanticus']		['Eukaryota']									1	3	3.5728694200515747	1
