formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	Fatty acids	0.882	Fatty Acids and Conjugates	0.157	Halogenated fatty acids	0.922	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.992	Carboxylic acid derivatives	0.981	Carboxylic acid amides	0.975	Secondary carboxylic acid amides	0.893	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	11	0.180	707666716254413110	707666494962922182	4	
1	CH5F2N2O3S2	[M + Na]+	CH5F2N2NaO3S2+	Alkaloids	0.147	Small peptides	0.020	Polyamines	0.047	Organic acids and derivatives	0.939	Organic sulfonic acids and derivatives	0.858	Organosulfonic acids and derivatives	0.855			Organosulfonic acids and derivatives	0.855	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organoarsenic compounds; Organometallic compounds; Alkyl fluorides; Sulfonyls; Organometalloid compounds; Organofluorides; Alkyl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.960	13	0.224	707666714912235739	707666494845481666	3	
1	CH5F2N2O3S2	[M + Na]+	CH5F2N2NaO3S2+	Alkaloids	0.147	Small peptides	0.020	Polyamines	0.047	Organic acids and derivatives	0.939	Organic sulfonic acids and derivatives	0.858	Organosulfonic acids and derivatives	0.855			Organosulfonic acids and derivatives	0.855	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organoarsenic compounds; Organometallic compounds; Alkyl fluorides; Sulfonyls; Organometalloid compounds; Organofluorides; Alkyl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.960	16	0.268	707666715067425008	707666495046808266	5	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	Fatty acids	0.686	Small peptides	0.308	Aminoacids	0.259	Organic acids and derivatives	0.990	Organic sulfonic acids and derivatives	0.568	Organosulfonic acids and derivatives	0.565			Organosulfonic acids and derivatives	0.565	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.982	18	0.296	707666714253729992	707666495139082958	6	
1	CH5BO3S2	[M + H]+	CH6BO3S2+	Fatty acids	0.222	Monoterpenoids	0.099	Halogenated fatty acids	0.041	Organic salts	0.987	Organic metal salts	0.919	Organic metalloid salts	0.919			Organic metalloid salts	0.919	Organic compounds; Organic acids and derivatives; Organometallic compounds; Organometalloid compounds; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	139.988	19	0.316	707666714123706553	707666496166687490	19	
1	C4H6Cl3FNO3P	[M - H2O + H]+	C4H5Cl3FNO2P+	Alkaloids	0.515	Proline alkaloids	0.006	Halogenated fatty acids	0.006	Organoheterocyclic compounds	0.867	Pyridines and derivatives	0.377	Halopyridines	0.618			Halopyridines	0.618	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl chlorides; Organic phosphoramides; Organochlorides; Alkyl halides; Organic oxides; Halopyridines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	253.910	19	0.325	707666719303672237	707666498746184694	80	
1	C3H6N4O4	[M - H2O + H]+	C3H5N4O3+	Alkaloids	0.387	Small peptides	0.272	Halogenated fatty acids	0.189	Organic 1,3-dipolar compounds	0.541	Allyl-type 1,3-dipolar organic compounds	0.522	Organic nitro compounds	0.567			Organic nitro compounds	0.567	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	145.036	20	0.326	707666712869609627	707666496649032486	28	
1	C6H12N3O3	[M - H2O + H]+	C6H11N3O2+	Amino acids and Peptides	0.627	Small peptides	0.841	Aminoacids	0.695	Lipids and lipid-like molecules	0.562	Fatty Acyls	0.591	Fatty acids and conjugates	0.590			Fatty acids and conjugates	0.590	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	157.084	20	0.328	707666715335860486	707666497160737614	38	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	Fatty acids	0.347	Fatty acyls	0.359	Halogenated fatty acids	0.171	Organic nitrogen compounds	0.913	Organonitrogen compounds	0.898					Organonitrogen compounds	0.898	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	20	0.328	707666727813915438	707666495436878558	10	
1	C3H8BrN2O3PS	[M - H2O + H]+	C3H7BrN2O2PS+	Alkaloids	0.400	Pseudoalkaloids (transamidation)	0.045	Halogenated fatty acids	0.370	Organic acids and derivatives	0.969	Organic phosphoric acids and derivatives	0.863	Organic phosphoramides	0.848			Organic phosphoramides	0.848	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organic phosphoric acids and derivatives; Alkyl bromides; Organic phosphoramides; Organobromides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.915	20	0.330	707666737456620890	707666498901373962	85	
