formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	Fatty acids	0.882	Fatty Acids and Conjugates	0.157	Halogenated fatty acids	0.922	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.992	Carboxylic acid derivatives	0.981	Carboxylic acid amides	0.975	Secondary carboxylic acid amides	0.893	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	11	0.180	707666716254413110	707666494962922182	4	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	Fatty acids	0.686	Small peptides	0.308	Aminoacids	0.259	Organic acids and derivatives	0.990	Organic sulfonic acids and derivatives	0.568	Organosulfonic acids and derivatives	0.565			Organosulfonic acids and derivatives	0.565	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.982	18	0.296	707666714253729992	707666495139082958	6	
2	C4H4ClNO	[M + Na]+	C4H4ClNNaO+	Fatty acids	0.922	Fatty Acids and Conjugates	0.216	Halogenated fatty acids	0.920	Organic acids and derivatives	0.688	Carboxylic acids and derivatives	0.641	Carboxylic acid derivatives	0.500	Carboxylic acid amides	0.604	Carboxylic acid amides	0.604	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.988	19	0.316	707666714123706554	707666496166687490	19	
2	C3H4N4O3	[M + H]+	C3H5N4O3+	Alkaloids	0.944	Pseudoalkaloids (transamidation)	0.690	Purine alkaloids	0.905	Organoheterocyclic compounds	0.719	Heteroaromatic compounds	0.577					Heteroaromatic compounds	0.577	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	145.036	20	0.326	707666712869609625	707666496649032486	28	
3	C6H7N2O2	[M + H3N + H]+	C6H11N3O2+	Alkaloids	0.350	Nicotinic acid alkaloids	0.653	Pyridine alkaloids	0.652	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999					Organonitrogen compounds	0.999	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	157.084	20	0.328	707666715335860485	707666497160737614	38	
2	C5H2N2O3S3	[M - H2O + H]+	C5HN2O2S3+	Alkaloids	0.327	Tropolones	0.177	Imidazole alkaloids	0.130	Organoheterocyclic compounds	0.988	Azoles	0.606					Azoles	0.606	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	216.920	20	0.328	707666739587327495	707666498867819526	84	
1	C6H7NO2Si	[M + Na]+	C6H7NNaO2Si+	Fatty acids	0.335	Nicotinic acid alkaloids	0.179	Halogenated fatty acids	0.444	Organic nitrogen compounds	0.673	Organonitrogen compounds	0.579					Organonitrogen compounds	0.579	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	176.014	20	0.330	707666724760461935	707666495583679206	12	
3	C6H5OS	[M + H3N + H]+	C6H9NOS+	Fatty acids	0.835	Fatty acyls	0.859	Oxygenated hydrocarbons	0.868	Organoheterocyclic compounds	0.589							Organoheterocyclic compounds	0.589	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.040	20	0.331	707666717021970768	707666495285883606	8	
1	C3H5F2NO2	[M + Na]+	C3H5F2NNaO2+	Fatty acids	0.894	Fatty Acids and Conjugates	0.693	Halogenated fatty acids	0.958	Organic acids and derivatives	0.919	Carboxylic acids and derivatives	0.906	Carboxylic acid derivatives	0.352	Carboxylic acid amides	0.504	Carboxylic acid amides	0.504	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	148.019	20	0.331	707666718989099396	707666495508181730	11	
1	C5H11ClN2O2S	[M + H]+	C5H12ClN2O2S+	Alkaloids	0.494	Histidine alkaloids	0.036	Imidazole alkaloids	0.037	Organic acids and derivatives	0.937	Organic sulfuric acids and derivatives	0.557					Organic sulfuric acids and derivatives	0.557	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Alkyl chlorides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	199.030	20	0.332	707666730078839729	707666495650788074	13	
3	C4H2N2O4S3	[M + H3N + H]+	C4H6N3O4S3+	Alkaloids	0.700	Nicotinic acid alkaloids	0.644	Pyridine alkaloids	0.648	Organoheterocyclic compounds	0.776	Heteroaromatic compounds	0.709					Heteroaromatic compounds	0.709	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.952	20	0.333	707666734361224298	707666495214580434	7	
5	C11H9N5O2	[M + H3N + H]+	C11H13N6O2+	Alkaloids	0.894	Pseudoalkaloids (transamidation)	0.891	Purine alkaloids	0.962	Organoheterocyclic compounds	0.998	Diazines	0.847	Pyrimidines and pyrimidine derivatives	0.702			Pyrimidines and pyrimidine derivatives	0.702	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.110	20	0.334	707666727566451482	707666498775544826	81	
2	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	Fatty acids	0.930	Fatty acyls	0.271	Halogenated fatty acids	0.850	Organic nitrogen compounds	0.941	Organonitrogen compounds	0.945	Organic cyanides	0.563	Nitriles	0.537	Nitriles	0.537	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Nitriles; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.008	20	0.338	707666765331966799	707666495357186778	9	
2	C13H14O5	[M - H2O + H]+	C13H13O4+	Polyketides	0.685	Macrolides	0.180	2-pyrone derivatives	0.143	Organic acids and derivatives	0.899	Carboxylic acids and derivatives	0.825	Carboxylic acid derivatives	0.537			Carboxylic acid derivatives	0.537	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	233.079	20	0.341	707666725314110105	707666498716824562	79	
