"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C4H7Cl2NO"	"[M - H2O + H]+"	"C4H6Cl2N+"	"Fatty acids"	0.882	"Fatty Acids and Conjugates"	0.157	"Halogenated fatty acids"	0.922	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.992	"Carboxylic acid derivatives"	0.981	"Carboxylic acid amides"	0.975	"Secondary carboxylic acid amides"	0.893	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	137.987	11	0.18	707666716254413056	707666494962922240	4	NA	4
1	"C2H7NO3S2"	"[M - H2O + H]+"	"C2H6NO2S2+"	"Fatty acids"	0.686	"Small peptides"	0.308	"Aminoacids"	0.259	"Organic acids and derivatives"	0.99	"Organic sulfonic acids and derivatives"	0.568	"Organosulfonic acids and derivatives"	0.565	NA	NA	"Organosulfonic acids and derivatives"	0.565	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	139.982	18	0.296	707666714253730048	707666495139083008	6	NA	6
2	"C4H4ClNO"	"[M + Na]+"	"C4H4ClNNaO+"	"Fatty acids"	0.922	"Fatty Acids and Conjugates"	0.216	"Halogenated fatty acids"	0.92	"Organic acids and derivatives"	0.688	"Carboxylic acids and derivatives"	0.641	"Carboxylic acid derivatives"	0.5	"Carboxylic acid amides"	0.604	"Carboxylic acid amides"	0.604	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	139.988	19	0.316	707666714123706496	707666496166687488	19	NA	19
2	"C3H4N4O3"	"[M + H]+"	"C3H5N4O3+"	"Alkaloids"	0.944	"Pseudoalkaloids (transamidation)"	0.69	"Purine alkaloids"	0.905	"Organoheterocyclic compounds"	0.719	"Heteroaromatic compounds"	0.577	NA	NA	NA	NA	"Heteroaromatic compounds"	0.577	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	145.036	20	0.326	707666712869609600	707666496649032448	28	NA	28
3	"C6H7N2O2"	"[M + H3N + H]+"	"C6H11N3O2+"	"Alkaloids"	0.35	"Nicotinic acid alkaloids"	0.653	"Pyridine alkaloids"	0.652	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	0.999	NA	NA	NA	NA	"Organonitrogen compounds"	0.999	"Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	157.084	20	0.328	707666715335860480	707666497160737664	38	NA	38
2	"C5H2N2O3S3"	"[M - H2O + H]+"	"C5HN2O2S3+"	"Alkaloids"	0.327	"Tropolones"	0.177	"Imidazole alkaloids"	0.13	"Organoheterocyclic compounds"	0.988	"Azoles"	0.606	NA	NA	NA	NA	"Azoles"	0.606	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	216.92	20	0.328	707666739587327488	707666498867819520	84	NA	84
1	"C6H7NO2Si"	"[M + Na]+"	"C6H7NNaO2Si+"	"Fatty acids"	0.335	"Nicotinic acid alkaloids"	0.179	"Halogenated fatty acids"	0.444	"Organic nitrogen compounds"	0.673	"Organonitrogen compounds"	0.579	NA	NA	NA	NA	"Organonitrogen compounds"	0.579	"Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	176.014	20	0.33	707666724760461952	707666495583679232	12	NA	12
3	"C6H5OS"	"[M + H3N + H]+"	"C6H9NOS+"	"Fatty acids"	0.835	"Fatty acyls"	0.859	"Oxygenated hydrocarbons"	0.868	"Organoheterocyclic compounds"	0.589	NA	NA	NA	NA	NA	NA	"Organoheterocyclic compounds"	0.589	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	143.04	20	0.331	707666717021970816	707666495285883648	8	NA	8
1	"C3H5F2NO2"	"[M + Na]+"	"C3H5F2NNaO2+"	"Fatty acids"	0.894	"Fatty Acids and Conjugates"	0.693	"Halogenated fatty acids"	0.958	"Organic acids and derivatives"	0.919	"Carboxylic acids and derivatives"	0.906	"Carboxylic acid derivatives"	0.352	"Carboxylic acid amides"	0.504	"Carboxylic acid amides"	0.504	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	148.019	20	0.331	707666718989099392	707666495508181760	11	NA	11
1	"C5H11ClN2O2S"	"[M + H]+"	"C5H12ClN2O2S+"	"Alkaloids"	0.494	"Histidine alkaloids"	0.036	"Imidazole alkaloids"	0.037	"Organic acids and derivatives"	0.937	"Organic sulfuric acids and derivatives"	0.557	NA	NA	NA	NA	"Organic sulfuric acids and derivatives"	0.557	"Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Alkyl chlorides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	199.03	20	0.332	707666730078839680	707666495650788096	13	NA	13
