formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	CH3NO8	[M - H2O + H]+	CH2NO7+	1.000	0.411	0.910	0.910	0.000	0	0.000	-1.549	1.549	-128664.376		139.982	6	0.106	707666712408236169	707666494560268986	1	
1	CH3NO8	[M - H2O + H]+	CH2NO7+	1.000	0.393	0.910	0.910	0.000	0	0.000	-1.549	1.549	-128664.255		139.982	8	0.139	707666712404041850	707666494749012670	2	
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	1.000	0.059	8.715	8.715	0.000	2	0.029	0.457	0.457	-130522.488		137.987	11	0.180	707666716254413110	707666494962922182	4	
1	CH5F2N2O3S2	[M + Na]+	CH5F2N2NaO3S2+	1.000	0.999	29.465	29.465	0.000	7	0.197	-2.075	2.473	-2.047		217.960	13	0.224	707666714912235739	707666494845481666	3	
1	CH5F2N2O3S2	[M + Na]+	CH5F2N2NaO3S2+	0.999	0.999	29.466	29.466	0.000	7	0.197	-2.075	2.473	-1.359		217.960	16	0.268	707666715067425008	707666495046808266	5	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	1.000	0.332	8.582	8.582	0.000	1	0.171	-8.999	8.999	-128669.818		139.982	18	0.296	707666714253729992	707666495139082958	6	
1	CH5BO3S2	[M + H]+	CH6BO3S2+	0.936	0.802	15.155	15.155	0.000	4	0.225	-7.339	7.339	-4.461		139.988	19	0.316	707666714123706553	707666496166687490	19	
1	C4H6Cl3FNO3P	[M - H2O + H]+	C4H5Cl3FNO2P+	0.733	0.322	17.889	15.667	2.222	8	0.101	0.171	1.854	-70934.384		253.910	19	0.325	707666719303672237	707666498746184694	80	
1	C3H6N4O4	[M - H2O + H]+	C3H5N4O3+	0.380	0.222	9.110	7.397	1.713	2	0.073	-1.279	1.792	-124181.191		145.036	20	0.326	707666712869609627	707666496649032486	28	
1	C6H12N3O3	[M - H2O + H]+	C6H11N3O2+	0.780	0.333	66.937	64.818	2.119	14	0.102	4.576	5.430	-114662.217		157.084	20	0.328	707666715335860486	707666497160737614	38	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	1.000	0.997	40.874	40.874	0.000	6	0.374	-1.841	1.841	-0.576		158.003	20	0.328	707666727813915438	707666495436878558	10	
1	C4H2O6S	[M + K]+	C4H2KO6S+	0.359	0.434	5.627	5.627	0.000	1	0.005	-0.597	1.220	-0.631		216.920	20	0.328	707666739587327492	707666498867819526	84	
1	C3H8BrN2O3PS	[M - H2O + H]+	C3H7BrN2O2PS+	0.355	0.114	10.432	9.408	1.024	2	0.769	2.406	2.406	-73536.823		244.915	20	0.330	707666737456620890	707666498901373962	85	
1	C6H7NO2Si	[M + Na]+	C6H7NNaO2Si+	1.000	1.000	97.440	97.440	0.000	13	0.737	-3.963	3.963	-0.430		176.014	20	0.330	707666724760461935	707666495583679206	12	
1	C6H10NO2S	[M - H2O + H]+	C6H9NOS+	0.518	0.333	21.376	19.508	1.868	6	0.128	5.014	5.014	-125913.835		143.040	20	0.331	707666717021970769	707666495285883606	8	
1	C3H5F2NO2	[M + Na]+	C3H5F2NNaO2+	0.996	1.000	33.312	33.312	0.000	6	0.114	3.347	6.428	4.962		148.019	20	0.331	707666718989099396	707666495508181730	11	
1	C5H11ClN2O2S	[M + H]+	C5H12ClN2O2S+	0.345	0.333	46.314	43.953	2.361	9	0.384	-6.690	8.060	-2.425		199.030	20	0.332	707666730078839729	707666495650788074	13	
1	C4H5N3O4S3	[M + H]+	C4H6N3O4S3+	0.793	0.333	49.868	49.868	0.000	10	0.508	-2.450	2.450	2.949		255.952	20	0.333	707666734361224297	707666495214580434	7	
1	C13H18O4	[M + Na]+	C13H18NaO4+	0.260	0.330	11.824	8.413	3.411	2	0.056	0.690	0.690	1.150		261.110	20	0.334	707666727566451478	707666498775544826	81	
1	C4H5BrFNO4	[M + K]+	C4H5BrFKNO4+	1.000	1.000	48.566	48.566	0.000	11	0.408	1.174	1.571	0.761		267.902	20	0.335	707666731525874677	707666495793394414	14	
1	C5H5NSi	[M + Na]+	C5H5NNaSi+	0.981	0.914	16.937	16.937	0.000	2	0.339	0.109	1.411	-0.664		130.008	20	0.338	707666765331966798	707666495357186778	9	
1	C8H14N2O7	[M - H2O + H]+	C8H13N2O6+	0.973	0.098	15.291	14.565	0.726	4	0.049	0.307	1.660	-77263.993		233.079	20	0.341	707666725314110108	707666498716824562	79	
1	C4H6N2O3S	[M + K]+	C4H6KN2O3S+	1.000	1.000	169.707	167.597	2.110	27	0.758	-4.210	4.210	-1.847		200.973	20	0.341	707666730124977085	707666499069146142	90	
1	C4H8N2O4P2S2	[M + K]+	C4H8KN2O4P2S2+	0.226	0.167	32.364	31.568	0.796	13	0.791	-1.433	2.399	-7.702		312.901	21	0.345	707666737758610828	707666498930734094	86	
