structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0.630	0.630	-42.094	1.000	0.059	8.715	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	XDINYGSGZCMRLV	InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)	N-(1,2-dichloroethyl)acetamide	CC(=O)NC(CCl)Cl	0.900	129031291	PUBCHEM:(129031291)	2	137.987	11	0.180	707666716254413110	707666494962922182	4	
1	1	0.100	0.100	-63.861	1.000	0.332	8.582	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	MXTPRJXPLFGHEE	InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)	Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester	C(CSS(=O)(=O)O)N	-3.700	5232348;7061596;76242;3784204	NORMAN:(NS00028679 NS00088499);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);MESH:(76242);PUBCHEM:(5232348 7061596 76242 3784204);DSSTox:(DTXSID8068969 DTXSID9062720);PUBMED:(null)	137506324550	139.982	18	0.296	707666714253729992	707666495139082958	6	
1	2	0.113	0.113	-61.356	0.064	0.198	13.759	C4H4ClNO	[M + Na]+	C4H4ClNNaO+	DPOKMBBVMINBAF	InChI=1S/C4H4ClNO/c1-6-4(7)2-3-5/h1H3,(H,6,7)	3-chloro-N-methylprop-2-ynamide	CNC(=O)C#CCl	1.000	19434636	PUBCHEM:(19434636)	2	139.988	19	0.316	707666714123706554	707666496166687490	19	
1	2	0.030	0.030	-130.057	0.180	0.222	9.110	C3H4N4O3	[M + H]+	C3H5N4O3+	RRRXKDJSULCXTB	InChI=1S/C3H4N4O3/c8-2(9)1-7-5-3(10)4-6-7/h1H2,(H,5,10)(H,8,9)	(5-hydroxy-2H-tetrazol-2-yl)acetic acid	C(C(=O)O)N1NC(=O)N=N1	0.200	7106974;3549881	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(7106974 3549881)	67108866	145.036	20	0.326	707666712869609625	707666496649032486	28	
1	3	0.066	0.066	-91.172	0.098	0.333	66.937	C6H7N2O2	[M + H3N + H]+	C6H11N3O2+	OXNGKVMYAJGLPA	InChI=1S/C6H7N2O2/c1-3-4(2)6(10)8-7-5(3)9/h1-2H3,(H,7,9)		CC1=C(C(=NNC1=O)[O])C	0.100	131858385	PUBCHEM:(131858385)	2	157.084	20	0.328	707666715335860485	707666497160737614	38	
1	2	-Infinity	-Infinity	-227.934	0.187	0.074	3.864	C5H2N2O3S3	[M - H2O + H]+	C5HN2O2S3+	CUUMULNESHBYIH	InChI=1S/C5H2N2O3S3/c8-3-2(6-1-11)13-5(12)7(3)4(9)10/h2H,(H,9,10)	5-Isothiocyanato-4-oxo-2-sulfanylidene-1,3-thiazolidine-3-carboxylic acid	C(=NC1C(=O)N(C(=S)S1)C(=O)O)=S	2.900	87665510	PUBCHEM:(87665510)	2	216.920	20	0.328	707666739587327495	707666498867819526	84	
1	1	0.013	0.013	-61.831	1.000	1.000	97.440	C6H7NO2Si	[M + Na]+	C6H7NNaO2Si+	YWGZLZUVGYEJQI	InChI=1S/C6H7NO2Si/c1-2-5-10-9-6(8)3-4-7/h2,5H,3H2,1H3		CC=C[Si]OC(=O)CC#N	0.000	88433801	PUBCHEM:(88433801)	2	176.014	20	0.330	707666724760461935	707666495583679206	12	
1	3	0.014	0.014	-43.962	0.230	0.333	21.376	C6H5OS	[M + H3N + H]+	C6H9NOS+	XEPPGVOBKVUOJE	InChI=1S/C6H5OS/c7-5-1-3-6(8)4-2-5/h1-4,8H	4-Mercaptophenoxyradical	C1=C[C](C=CC1=O)S	1.000	101186080	PUBCHEM:(101186080)	2	143.040	20	0.331	707666717021970768	707666495285883606	8	
1	1	0.039	0.039	-104.812	0.996	1.000	33.312	C3H5F2NO2	[M + Na]+	C3H5F2NNaO2+	RDWIWGLYYQZMFQ	InChI=1S/C3H5F2NO2/c4-2(5)1(6)3(7)8/h1-2H,6H2,(H,7,8)	3,3-Difluoro-D-alanine	C(C(F)F)(C(=O)O)N	-2.500	13587587;189179;11804757	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(189179);PUBCHEM:(13587587 189179 11804757);DSSTox:(DTXSID00975143);PUBMED	137506062406	148.019	20	0.331	707666718989099396	707666495508181730	11	
1	1	0.067	0.067	-68.372	0.345	0.333	46.314	C5H11ClN2O2S	[M + H]+	C5H12ClN2O2S+	FQFWORTWVXLLPV	InChI=1S/C5H11ClN2O2S/c1-3-7-11(9,10)8-4-5(2)6/h7-8H,2-4H2,1H3	2-chloro-N-(ethylsulfamoyl)prop-2-en-1-amine	CCNS(=O)(=O)NCC(=C)Cl	0.500	115638662	PUBCHEM:(115638662)	2	199.030	20	0.332	707666730078839729	707666495650788074	13	
