"samples"	"LV1"	"LV2"
"20250402_PMA_tp24_000036_01_01.mzML"	2765342194.54398	-933570760.775
"20250402_PMA_tp24_000037_01_01.mzML"	2300247563.73346	710842032.237669
"20250402_PMA_tp24_000038_01_02.mzML"	3019392422.32661	-896896984.943621
"20250402_PMA_tp24_000039_01_01.mzML"	2882298195.34264	262791920.997104
"20250402_PMA_tp24_000040_01_01.mzML"	2500874358.35117	401123489.11248
"20250402_PMA_tp24_000041_01_01.mzML"	2611937690.59749	234061462.054064
"20250402_PMA_tp24_000042_01_01.mzML"	2854968645.62651	42606206.408883
"20250402_PMA_tp24_000043_01_01.mzML"	2425443143.45137	98758852.4982551
"20250402_PMA_tp24_000044_01_01.mzML"	2908280066.63428	-227345365.256919
"20250402_PMA_tp24_000046_01_01.mzML"	2007338514.16681	788440244.882216
