"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_139.98_0.1",1,139.982453409478,0.08405816,NA
"10_158_0.3",10,158.003165404201,0.32822144,NA
"100_333.05_0.4",100,333.0493946562,0.4115786,"C8H11F2N3O4S2"
"1000_269.21_5.5",1000,269.21155847861,5.4538484,"C16H28O3"
"1001_578.34_5.5",1001,578.339548201152,5.466092,NA
"1002_309.2_5.5",1002,309.204624503912,5.485741,"C18H30O5"
"1003_190.99_5.5",1003,190.993546453125,5.4884515,"C5H8N2O3S2"
"1004_265.11_5.5",1004,265.105196089211,5.4899077,"C12H18O5"
"1005_260.15_5.5",1005,260.149844441419,5.4903564,"C12H18O5"
"1006_622.37_5.5",1006,622.366136961117,5.491349,"C31H51N5O6S"
"1007_281.08_5.5",1007,281.079117763613,5.4917088,"C12H18O5"
"1008_554.33_5.5",1008,554.333514024592,5.4946322,"C29H44O9"
"1009_392.23_5.5",1009,392.228259522809,5.4975657,"C18H30O8"
"101_371.01_0.4",101,371.00540142227,0.41210693,"C10H12N4O7S"
"1010_160.08_5.5",1010,160.07608991843,5.4997773,"C10H11NO2"
"1011_251.2_5.5",1011,251.201000388332,5.5042357,"C16H28O3"
"1012_348.2_5.5",1012,348.202378869884,5.5064793,"C16H26O7"
"1013_267.2_5.5",1013,267.195949652877,5.5100203,"C16H26O3"
"1014_666.39_5.5",1014,666.392394989164,5.513218,"C32H55N5O8Si"
"1015_304.18_5.5",1015,304.176155095801,5.5229692,"C14H22O6"
"1016_309.13_5.5",1016,309.131424421282,5.5229692,"C14H22O6"
"1017_325.11_5.5",1017,325.105358042689,5.5229692,"C15H17NO2S2"
"1018_332.21_5.5",1018,332.207197265707,5.5234175,"C16H31NO7"
"1019_163_5.5",1019,162.998616803246,5.527249,"C4H8N2O2S2"
"102_171.02_0.4",102,171.016978321565,0.41317955,"C4H8N2O3"
"1020_190.99_5.5",1020,190.993534115438,5.5351205,NA
"1021_139.98_5.5",1021,139.982911726792,5.538441,"C2H7NO3S2"
"1022_203.07_5.6",1022,203.067835944939,5.5631466,"C8H16N2OS2"
"1023_227.98_5.6",1023,227.983396405412,5.5654488,NA
"1024_269.21_5.6",1024,269.211801655032,5.587364,"C16H28O3"
"1025_251.2_5.6",1025,251.201238228202,5.5878015,"C16H28O3"
"1026_309.2_5.6",1026,309.204925667204,5.585036,"C18H28O4"
"1027_336.25_5.6",1027,336.253532480557,5.602982,"C20H30O3"
