	Arabidopsis thaliana_vs_NA_fold_change_log2	Arabidopsis thaliana_vs_NA_p_value
lauramidopropyl betaine	0.115905610164728	0.405958211678362
5-Sulfo-1,3-benzenedicarboxylic acid	0.060689895936055	0.45877079620743
eicosa-11,14-dienoic acid	-0.0818790153938161	0.596669776125856
N-lauryldiethanolamine	1.20707333735616	0.426479101073935
vanilpyruvic acid	-0.508388834917713	0.303821976537277
2-Chlorohexadecanol	1.32673057376874	0.26368904099863
phosphocholine	-0.809525745802465	0.368845860666225
3-oxo-heptadecanoic acid	-0.885811114441136	0.582408011398286
heptadecanoic acid	-3.15301190306096	0.516077685950923
1-O-(2R-hydroxy-pentadecyl)-sn-glycerol	-1.44516059741447	0.552320872940972
itaconate(2-)	-0.645145114613396	0.478694664129205
palmitoyl bioconjugate	-0.920937096652013	0.314218627049533
gamma-glutamylcystine	-0.496363774205013	0.467293114663277
1-dodecyl-sn-glycero-3-phosphocholine	0.410450875409353	0.151019871886342
5-phenylpenta-2,4-dienoic acid	0.0560066993591248	0.779513814446479
LSM-5488	-0.285799505296132	0.180669976927333
isobutyric acid anhydride	-0.0232850569753607	0.901126436195038
N-(1,3-benzodioxol-5-yl)-2-[4-(4-chlorophenyl)sulfonyl-1-piperazinyl]acetamide	-0.620063512630691	0.518217111653316
12-Oxo-9-octadecynoic acid	-2.2912295591284	0.121760225545445
10-PAHSA(1-)	-3.29929009486527	0.0909097192408337
benzododecinium	-0.114601455869966	0.644950758926997
7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid	1.34410196145466	0.227525329735682
1-(alk-1-enyl)-glycero-3-phosphate(2-)	0.0649894558915462	0.347022552812663
lauryl acrylate	0.615476740306679	0.039864327498594
3-oxo-Tetradecanal	-0.0736675500090632	0.853334404175546
palmitoyl ethanolamide	-0.195496957809671	0.178286818012843
tris(2-butoxyethyl) phosphate	-0.0580000966857501	0.204166960563546
stearolic acid	-0.190772893118402	0.167824371399164
3,6-dioxocyclohexa-1,4-dien-1-olate	-0.0785498412554021	0.819272037332407
N-[5-(ethylthio)-1,3,4-thiadiazol-2-yl]-4-methylbenzamide	-0.494813220552948	0.25792097246618
O-stearoylcarnitine	0.383324127312217	0.419507824149721
octaethyleneglycol monododecyl ether	0.0820988352670514	0.63583574997544
4-methoxy-N-(3-methylbutyl)-3-(4-morpholinylsulfonyl)benzamide	0.0409962040583131	0.605446381145827
