	Arabidopsis thaliana_vs_NA_fold_change_log2	Arabidopsis thaliana_vs_NA_p_value
lauramidopropyl betaine	0.223501798260934	0.405958211678362
5-Sulfo-1,3-benzenedicarboxylic acid	0.165876239380123	0.45877079620743
eicosa-11,14-dienoic acid	-0.157052978714691	0.596669776125856
N-lauryldiethanolamine	0.303150935130303	0.426479101073935
vanilpyruvic acid	-0.282137318661947	0.303821976537277
2-Chlorohexadecanol	0.333930465151757	0.26368904099863
phosphocholine	-0.231655067581081	0.368845860666225
3-oxo-heptadecanoic acid	-0.174240534591139	0.582408011398286
heptadecanoic acid	-0.229275348902277	0.516077685950923
1-O-(2R-hydroxy-pentadecyl)-sn-glycerol	-0.212172095655588	0.552320872940972
itaconate(2-)	-0.215133148707106	0.478694664129205
palmitoyl bioconjugate	-0.265573377280255	0.314218627049534
gamma-glutamylcystine	-0.209850044189181	0.467293114663277
1-dodecyl-sn-glycero-3-phosphocholine	0.362129699501458	0.151019871886342
5-phenylpenta-2,4-dienoic acid	0.0775316302395966	0.779513814446479
LSM-5488	-0.324531374592472	0.180669976927333
isobutyric acid anhydride	-0.0363596735457426	0.901126436195038
N-(1,3-benzodioxol-5-yl)-2-[4-(4-chlorophenyl)sulfonyl-1-piperazinyl]acetamide	-0.177360680988014	0.518217111653316
12-Oxo-9-octadecynoic acid	-0.579879129629931	0.121760225545445
10-PAHSA(1-)	-0.648661827841901	0.0909097192408336
benzododecinium	-0.136005790066526	0.644950758926997
7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid	0.394336137470661	0.227525329735683
1-(alk-1-enyl)-glycero-3-phosphate(2-)	0.214310369437326	0.347022552812663
lauryl acrylate	0.425723342012428	0.0398643274985941
3-oxo-Tetradecanal	-0.0703648998225635	0.853334404175545
palmitoyl ethanolamide	-0.298627832645224	0.178286818012843
tris(2-butoxyethyl) phosphate	-0.374543783978685	0.204166960563546
stearolic acid	-0.31169658495992	0.167824371399164
3,6-dioxocyclohexa-1,4-dien-1-olate	-0.0691367488963492	0.819272037332407
N-[5-(ethylthio)-1,3,4-thiadiazol-2-yl]-4-methylbenzamide	-0.252244058815759	0.25792097246618
O-stearoylcarnitine	0.163670784028339	0.419507824149721
octaethyleneglycol monododecyl ether	0.130865689174091	0.63583574997544
