"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","Arabidopsis thaliana_vs_NA_p_value","Arabidopsis thaliana_vs_NA_p_value_minus_log10","Arabidopsis thaliana_vs_NA_fold_change","Arabidopsis thaliana_vs_NA_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","Arabidopsis.thaliana","Arabidopsis.thaliana.pval","NA.","NA.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
6,"6_139.98_0.3","NA_[6_139.98_0.3]",139.982493500839,0.29572558,0.0471023134956069,1.32695776137002,0.763975182998765,-0.388402320430165,"Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,0.1,0.1,-63.861,8.582,1,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE","C2H7NO3S2","[M - H2O + H]+","C(CSS(=O)(=O)O)N","Fatty acids","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.692614770459082,0,0.750499001996008,0,0.674650698602794,0.0108,0.816367265469062
198,"198_257.89_0.6","NA_[198_257.89_0.6]",257.893826393718,0.5759136,0.0429601198666756,1.36693451554493,1.30933540579064,0.388834712476397,"5-Bromo-3-chloropyridine-2-carboxylate",NA,NA,0.12,0.124,-39.115,74.329,0.259,"InChI=1S/C6H3BrClNO2/c7-3-1-4(8)5(6(10)11)9-2-3/h1-2H,(H,10,11)","KPHRXSNSIGEBSN","C6H3BrClNO2","[M + Na]+","C1=C(C=NC(=C1Cl)C(=O)O)Br","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.772455089820359,0,0.844311377245509,0,0.758483033932136,0.0416,0.269461077844311
243,"243_130.97_0.8","NA_[243_130.97_0.8]",130.966697611065,0.81640476,0.0236412702731975,1.62632919201164,1.42340619589915,0.509347420954968,"2,2-Dichloro-1,1-ethanediol",NA,NA,0.115,0.115,-74.246,8.764,0.997,"InChI=1S/C2H4Cl2O2/c3-1(4)2(5)6/h1-2,5-6H","RUUBIFVWPACNLY","C2H4Cl2O2","[M + H]+","C(C(Cl)Cl)(O)O","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61006778528067,0.0279441117764471,1.73727046020804,0.0199600798403194,1.67131567616219,0.0259481037924152,0.0788,0.0838323353293413
254,"254_139.98_0.9","NA_[254_139.98_0.9]",139.98249811165,0.88586825,0.0129625630257425,1.887309118999,1.40918268137205,0.494858649565018,"Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,0.085,0.085,-75.274,17.756,1,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE","C2H7NO3S2","[M - H2O + H]+","C(CSS(=O)(=O)O)N","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.181636726546906,1.00100150250438,0.11377245508982,1.00100150250438,0.183632734530938,0.1072,0.0499001996007984
255,"255_130.97_0.9","4-(phosphonomethyl)-L-phenylalanine_[255_130.97_0.9]",130.966697473154,0.89620256,0.0345849397243398,1.46111297688596,1.40046593503578,0.485906891693281,"Vinylphosphonous acid","4-(phosphonomethyl)-L-phenylalanine","CHEBI:44916",0.098,0.098,-16.583,13.444,0.19,"InChI=1S/C2H5O2P/c1-2-5(3)4/h2-4H,1H2","AEYPURZOVCVRFN","C2H5O2P","[M + K]+","C=CP(O)O","Fatty acids","Aminoacids","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.68063872255489,0,0.728542914171657,0,0.668662674650699,0.046,0.223552894211577
264,"264_158.96_1","NA_[264_158.96_1]",158.961631394773,0.97421575,0.00803511575430028,2.09500786238642,1.41840476622435,0.504269289203634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80586049744792,0.0219560878243513,2.00804832225625,0.0239520958083832,1.91656175364897,0.0219560878243513,0.0792,0.063872255489022
267,"267_139.98_1","NA_[267_139.98_1]",139.982533749196,1.0098361,0.0270535909954603,1.56777508005819,1.34145513624963,0.423798805778087,"Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,0.204,0.204,-42.019,17.695,1,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE","C2H7NO3S2","[M - H2O + H]+","C(CSS(=O)(=O)O)N","Fatty acids","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.167664670658683,1.00100150250438,0.111776447105788,1.00100150250438,0.163672654690619,0.0736,0.101796407185629
269,"269_186.96_1","NA_[269_186.96_1]",186.956558125705,1.016599,0.0109857798643897,1.95916910772124,1.41305896843615,0.498821672108711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75142361026015,0.0499001996007984,2.00804832225625,0.0499001996007984,1.89151967428218,0.0499001996007984,0.0804,0.101796407185629
321,"321_195.12_1.6","NA_[321_195.12_1.6]",195.12295029722,1.5519419,0.0488258795105084,1.31134992493472,0.740159009040443,-0.434092855347038,"2-{2-[2-(2-hydroxyethoxy)ethoxy]ethoxy}ethan-1-ol",NA,NA,0.736,0.736,-4.517,46.176,1,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2","UWHCKJMYHZGTIT","C8H18O5","[M + H]+","C(COCCOCCOCCO)O","Fatty acids","Fatty alcohols","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.199600798403194,1.00100150250438,0.129740518962076,1.00100150250438,0.209580838323353,0.0204,0.475049900199601
322,"322_212.15_1.5","NA_[322_212.15_1.5]",212.149547215231,1.549728,0.0393179764267926,1.40540884204266,0.723157068671897,-0.467619062395053,"2-{2-[2-(2-hydroxyethoxy)ethoxy]ethoxy}ethan-1-ol",NA,NA,0.665,0.665,-11.961,53.959,1,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2","UWHCKJMYHZGTIT","C8H18O5","[M + H3N + H]+","C(COCCOCCOCCO)O","Fatty acids","Fatty alcohols","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.760479041916168,0,0.828343313373254,0,0.750499001996008,0.0596,0.127744510978044
