	control_negative_vs_control_positive_fold_change_log2	control_negative_vs_control_positive_p_value	control_negative_vs_P2_negative_fold_change_log2	control_negative_vs_P2_negative_p_value	control_negative_vs_P2_positive_fold_change_log2	control_negative_vs_P2_positive_p_value	control_positive_vs_P2_negative_fold_change_log2	control_positive_vs_P2_negative_p_value	control_positive_vs_P2_positive_fold_change_log2	control_positive_vs_P2_positive_p_value	P2_negative_vs_P2_positive_fold_change_log2	P2_negative_vs_P2_positive_p_value
lauramidopropyl betaine	-0.641502165889214	0.451573363888613	-0.591269504134503	0.32824805082063	-0.43095554105657	0.521280895162758	0.0502326617547106	0.999188313262918	0.210546624832643	0.939769027101874	0.160313963077933	0.897908987765502
5-Sulfo-1,3-benzenedicarboxylic acid	-0.559788693325719	0.44268960036095	-0.45706060368798	0.394134771914019	-0.381505211541395	0.509319349817361	0.102728089637739	0.988035932429066	0.178283481784324	0.939650326658972	0.075555392146585	0.977999942939729
eicosa-11,14-dienoic acid	-0.624409222313858	0.713011031820471	-0.125351005270677	0.98712928666615	-0.117920416761989	0.989134493045946	0.499058217043181	0.732918264471819	0.506488805551869	0.723172963372197	0.00743058850868815	0.999990078396674
N-lauryldiethanolamine	-0.921820280103241	0.317439112393286	-0.467402187019268	0.535628695831553	-0.957297999055798	0.161642870087949	0.454418093083974	0.756461237143449	-0.0354777189525571	0.999887422249629	-0.489895812036531	0.407336414305923
vanilpyruvic acid	-0.934729407028058	0.268740795521656	-0.169498044208421	0.927510018587723	-0.0544232032584111	0.996792080904005	0.765231362819637	0.288068288526143	0.880306203769647	0.178959945215551	0.11507484095001	0.917033717159323
2-Chlorohexadecanol	-1	0.0510504211613764	-0.620719285427384	0.0814273362771987	-0.889739617183085	0.0270108708813867	0.379280714572616	0.589718057309829	0.110260382816915	0.984420144091683	-0.269020331755701	0.480173363953504
phosphocholine	-0.614275880608524	0.623352156501871	-0.0554173038707091	0.998008042789871	-0.0307547266325339	0.999646764636958	0.558858576737815	0.539377091009123	0.58352115397599	0.501139323883866	0.0246625772381752	0.999322209566315
3-oxo-heptadecanoic acid	0.0926341847934372	0.998687330393641	0.0843676370965926	0.998018207728374	0.346356565375985	0.864814482032378	-0.00826654769684463	0.99999791454982	0.253722380582548	0.933768853928295	0.261988928279393	0.7817112161362
heptadecanoic acid	-0.00230953289713034	0.999999985433819	0.0684365254316941	0.999181633323285	0.371879092355435	0.865502131193144	0.0707460583288244	0.999098650334002	0.374188625252565	0.863721223853127	0.303442566923741	0.747299637057457
1-O-(2R-hydroxy-pentadecyl)-sn-glycerol	0	1	0.0493423472042553	0.999705420799389	0.358473754843713	0.880973241109475	0.0493423472042553	0.999705420799389	0.358473754843713	0.880973241109475	0.309131407639458	0.747785418036635
itaconate(2-)	-0.481639297965282	0.82057256762892	0.133348952433419	0.980368199194389	-0.159549536607357	0.975506635722675	0.614988250398701	0.504526340311479	0.322089761357924	0.895849565460018	-0.292898489040777	0.63016627383208
palmitoyl bioconjugate	-0.476206142939516	0.806618629518201	0.0274760824179894	0.999811994904008	0.0663225713408006	0.997292232601691	0.503682225357506	0.641160900370543	0.542528714280317	0.580947501770469	0.038846488922811	0.997781671115747
gamma-glutamylcystine	-0.782894306959069	0.48157519356585	-0.0492833014341802	0.998543009908403	-0.213657019354081	0.917870532815922	0.733611005524888	0.369953197274271	0.569237287604987	0.599393568428081	-0.164373717919901	0.87116378969021
1-dodecyl-sn-glycero-3-phosphocholine	-0.899177124933378	0.0265591177730483	-0.756077884462219	0.0164310036958384	-0.729585162890765	0.0186253654620656	0.143099240471159	0.92400902983806	0.169591962042613	0.880050781974125	0.0264927215714539	0.997277410647437
5-phenylpenta-2,4-dienoic acid	-0.264108774491163	0.925595776237686	-0.413337267940123	0.677330443343125	-0.0204329362219404	0.999891135642482	-0.14922849344896	0.980122911320957	0.243675838269223	0.891440686265024	0.392904331718183	0.394487483511333
LSM-5488	-0.661509548090753	0.47261301593439	-0.0276035292398803	0.999596042731803	0.0880152071252097	0.986028030137645	0.633906018850873	0.339393089372374	0.749524755215963	0.204625651050991	0.11561873636509	0.899068588029709
isobutyric acid anhydride	-0.241622271913295	0.973594631906987	-0.130696591066433	0.990079519917268	-0.0298629450006087	0.999862536233802	0.110925680846862	0.99519370041151	0.211759326912686	0.965804316772144	0.100833646065824	0.98292731333514
N-(1,3-benzodioxol-5-yl)-2-[4-(4-chlorophenyl)sulfonyl-1-piperazinyl]acetamide	-0.67487012779739	0.58141105977436	-0.0692923368446027	0.996345044184348	-0.174562170125348	0.953349840029971	0.605577790952787	0.508728400330324	0.500307957672042	0.667483817495123	-0.105269833280745	0.961711874947521
12-Oxo-9-octadecynoic acid	-0.12825290386364	0.998004175940938	0.340561133501389	0.901366674926568	0.674511230872716	0.481905722251893	0.468814037365029	0.807655266061879	0.802764134736357	0.383346640828015	0.333950097371327	0.57892598077676
10-PAHSA(1-)	0	1	0.520134482365973	0.774201120668665	0.766669662272469	0.464516222143103	0.520134482365973	0.774201120668665	0.766669662272469	0.464516222143103	0.246535179906496	0.787111716161479
benzododecinium	-0.431641712783845	0.867913312250638	0.0346654367010215	0.999699908658685	-0.169334951950212	0.974085133203797	0.466307149484867	0.725557407435857	0.262306760833633	0.942564847940896	-0.204000388651234	0.853224301510379
7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid	0.906933684013401	0.212204903362663	0.22904592461847	0.940494037909384	0.0220428925744533	0.999949583798952	-0.677887759394931	0.203157829983729	-0.884890791438948	0.10988447924639	-0.207003032044016	0.849750809045626
