"feature_id_full","feature_id","feature_mz","feature_rt","control_negative_vs_control_positive_p_value","control_negative_vs_P2_negative_p_value","control_negative_vs_P2_positive_p_value","control_positive_vs_P2_negative_p_value","control_positive_vs_P2_positive_p_value","P2_negative_vs_P2_positive_p_value","control_negative_vs_control_positive_p_value_minus_log10","control_negative_vs_P2_negative_p_value_minus_log10","control_negative_vs_P2_positive_p_value_minus_log10","control_positive_vs_P2_negative_p_value_minus_log10","control_positive_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_fold_change","control_positive_vs_P2_positive_fold_change","control_negative_vs_P2_positive_fold_change","control_positive_vs_P2_negative_fold_change","control_negative_vs_P2_negative_fold_change","control_negative_vs_control_positive_fold_change","P2_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_positive_fold_change_log2","control_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_negative_fold_change_log2","control_negative_vs_P2_negative_fold_change_log2","control_negative_vs_control_positive_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"837_213.15_4.5",837,213.146686423464,4.497272,6.43929354282591e-14,0.916022143000923,0.755164635737613,6.4170890823334e-14,6.4170890823334e-14,0.936536744094197,13.1911617766281,0.0380940280058595,0.121958356188303,13.1926619317705,13.1926619317705,0.0284751788394061,1.00294056905869,0.506477179038932,1.00815562441128,0.504992214557923,1.00519976508427,1.99052527169005,0.00423611914589896,-0.98143082966962,0.0117183583185267,-0.985666948815519,0.00748223917262773,0.993149187988146,"Fatty acids","Fatty acyls","Fatty alcohols","Triisopropyl orthoformate",NA,NA,"CC(C)OC(OC(C)C)OC(C)C",NA,NA,NA,NA,"MAQZJHHAMPVRNS","nan","nan","InChI=1S/C10H22O3/c1-7(2)11-10(12-8(3)4)13-9(5)6/h7-10H,1-6H3","FPIVAWNGRDHRSQ"
"1939_650.38_8.6",1939,650.381191053735,8.629336,7.98046377936679e-06,2.1727330685728e-06,2.2024619830141e-06,0.999992379702045,0.999646091326861,0.999473783487305,5.09797186917971,5.66299362571201,5.65709157926538,3.30946596197724e-06,0.00015372778824549,0.000228593077752119,0.99849638420039,0.997919327015038,1.93870144141424,0.999422073835737,1.94162089326621,1.94274365565527,-0.00217089156023927,-0.00300490379338701,0.955090646582734,-0.000834012233147751,0.957261538142974,0.958095550376121,"Amino acids and Peptides","Oligopeptides","Depsipeptides","(2R,5S,6R)-5-[[(2S)-4-amino-2-(butylsulfonylmethyl)butanoyl]amino]-N-[(5S,8R)-1-amino-8-methyl-6,9,10-trioxoundecan-5-yl]-6-hydroxy-2-methyl-4-oxoheptanamide",NA,NA,"CCCCS(=O)(=O)CC(CCN)C(=O)NC(C(C)O)C(=O)CC(C)C(=O)NC(CCCCN)C(=O)CC(C)C(=O)C(=O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C29H52N4O9S/c1-6-7-14-43(41,42)17-22(11-13-31)29(40)33-26(20(4)34)25(37)16-19(3)28(39)32-23(10-8-9-12-30)24(36)15-18(2)27(38)21(5)35/h18-20,22-23,26,34H,6-17,30-31H2,1-5H3,(H,32,39)(H,33,40)","KHSIBIJOAUSZTQ"
"6_139.98_0.3",6,139.982493500839,0.29572558,3.60830155889946e-05,1.03696800382025e-05,9.76160129040338e-06,0.928828124413314,0.969525944263916,0.993679684321207,4.44269717404217,4.98423464378327,5.01047893494153,0.0320646428683346,0.0134405648215857,0.00275358919508014,1.00458206891979,0.98768439312688,1.9531380710384,0.983179397367621,1.94422947757626,1.97749208616634,0.00659542926496147,-0.0178779814282916,0.96579393968119,-0.024473410693253,0.959198510416229,0.983671921109482,"Fatty acids","Small peptides","Aminoacids","Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,"C(CSS(=O)(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE"
"2421_130.16_10.6",2421,130.160653885815,10.573946,3.63996992374105e-05,6.67999777914652e-06,5.36126395678238e-06,0.916954713481676,0.601184361508105,0.738277759927887,4.43890220481448,5.17522368191137,5.27073281016846,0.0376521127167599,0.220992325156105,0.131780214180915,1.0171144500152,1.0343262907969,1.94455146933615,1.01692222618747,1.91183152427643,1.88001744385513,0.0244820264709437,0.0486913731351881,0.959437421233064,0.0242093466642445,0.93495539476212,0.910746048097876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734_156.99_8.1",1734,156.991670172993,8.081162,5.74782491480352e-05,0.408822497845597,0.0777243504167688,2.71827245497125e-05,4.97925111822006e-05,0.218642784437232,4.24049646943357,0.388465212625428,1.10944289889676,4.56570701568283,4.30283597042927,0.660264850497499,0.954362784782137,1.81021696088986,0.905108480444928,1.89678075230385,0.948390376151923,0.5,-0.0673903084102388,0.856162619762365,-0.143837380237635,0.923552928172604,-0.076447071827396,-1,"Fatty acids","Fatty Acids and Conjugates","Thia fatty acids","Acetic acid, (acetylthio)-",NA,NA,"CC(=O)SCC(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H6O3S/c1-3(5)8-2-4(6)7/h2H2,1H3,(H,6,7)","QSBWDKUBOZHGOU"
"1130_293.18_6",1130,293.176040893563,5.9988713,0.000163477893570962,3.93407467329521e-05,4.33110995883279e-05,0.998612463642177,0.999867771761893,0.983995804401768,3.7865409668523,4.40515740092602,4.3634007902004,0.000603017835041983,5.74297911655325e-05,0.00700675332581827,0.992224523510869,0.997554656611338,1.91769564054376,1.00537190219972,1.93272348657361,1.92239656026279,-0.0112614800168878,-0.00353220526977932,0.939373766903929,0.00772927474710857,0.950635246920816,0.942905972173708,"Polyketides","Chromanes","Azaphilones","11-hydroperoxy-3,7,11-trimethyl-8-oxododeca-1,6,9-trien-3-yl acetate",NA,"C=C(C)[C@@H]1CC[C@]2(C)OC3=C(C[C@H]12)C(=O)[C@@H](O)C[C@@H]3OC","CC(=CCCC(C)(C=C)OC(=O)C)C(=O)C=CC(C)(C)OO",NA,NA,NA,NA,"OICVSQXUNLEFRY","InChI=1S/C17H24O4/c1-9(2)10-5-6-17(3)12(10)7-11-15(19)13(18)8-14(20-4)16(11)21-17/h10,12-14,18H,1,5-8H2,2-4H3/t10-,12+,13-,14-,17-/m0/s1","OICVSQXUNLEFRY-QWKMPEQISA-N","InChI=1S/C17H26O5/c1-7-17(6,21-14(3)18)11-8-9-13(2)15(19)10-12-16(4,5)22-20/h7,9-10,12,20H,1,8,11H2,2-6H3","BCZPLJUGHXOZHA"
"308_137.99_1.3",308,137.987456192027,1.3415357,0.00127043915585789,0.000947951369721256,0.00240815487491841,0.464857398259694,0.109209961932097,0.295278282131511,2.89604612943921,3.02321394156851,2.61831558586956,0.332680252802717,0.961737744279549,0.529768494441279,0.927652295891727,0.850765831709665,1.70153166341933,0.917117152059486,1.83423430411897,2,-0.108343941465572,-0.233166001660339,0.766833998339661,-0.124822060194767,0.875177939805233,1,"Fatty acids","Fatty amides","Halogenated fatty acids","1-(2,2-Dichloroethylamino)ethenol",NA,NA,"C=C(NCC(Cl)Cl)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H7Cl2NO/c1-3(8)7-2-4(5)6/h4,7-8H,1-2H2","ZDXIOIDDAPSCJQ"
"2486_130.15_10.8",2486,130.151836403264,10.832361,0.00209439189678906,0.000307654779658773,0.000355864727922595,0.736881438466106,0.856384742684568,0.978528743621854,2.67894205107722,3.51193633341747,3.44871505562558,0.132602382917123,0.0673310786813429,0.00942641271112408,0.988024783202601,1.04073404216693,1.86029290350786,1.05334811419758,1.88284032458971,1.78748155449446,-0.0173808646613577,0.0576014374470193,0.895529791854596,0.074982302108377,0.912910656515953,0.837928354407577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529_139.98_2.8",529,139.982633626541,2.8393047,0.00242089590950045,0.00760697396890442,0.00560142196043523,0.0800297489954511,0.119256374168763,0.949744025893246,2.61602388338,2.11878806989991,2.25170171028323,1.09674854522102,0.923518398934907,0.0223934295760931,1.02448048317756,0.836042270681753,1.67208454136351,0.816064614611946,1.63212922922389,2,0.0348925006096271,-0.258352207412266,0.741647792587734,-0.293244708021893,0.706755291978107,1,"Fatty acids","Fatty amides","N-acyl amines","Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,"C(CSS(=O)(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE"
"2388_666.61_10.4",2388,666.610633421566,10.395698,0.00357055711046039,0.00325657742545293,0.0040387657282972,0.487749047838166,0.373233429625097,0.976358995228751,2.44726401606647,2.48723859197255,2.39375133768383,0.311803569742842,0.428019464465979,0.0103904682141179,1.02743412618412,1.22807997157393,0.614039985786966,1.19528828201863,0.597644141009314,0.5,0.0390458986524291,0.296404510900675,-0.703595489099325,0.257358612248246,-0.742641387751754,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
