"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","control_negative_vs_control_positive_p_value","control_negative_vs_P2_negative_p_value","control_negative_vs_P2_positive_p_value","control_positive_vs_P2_negative_p_value","control_positive_vs_P2_positive_p_value","P2_negative_vs_P2_positive_p_value","control_negative_vs_control_positive_p_value_minus_log10","control_negative_vs_P2_negative_p_value_minus_log10","control_negative_vs_P2_positive_p_value_minus_log10","control_positive_vs_P2_negative_p_value_minus_log10","control_positive_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_fold_change","control_positive_vs_P2_positive_fold_change","control_negative_vs_P2_positive_fold_change","control_positive_vs_P2_negative_fold_change","control_negative_vs_P2_negative_fold_change","control_negative_vs_control_positive_fold_change","P2_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_positive_fold_change_log2","control_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_negative_fold_change_log2","control_negative_vs_P2_negative_fold_change_log2","control_negative_vs_control_positive_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","control_negative","control_negative.pval","control_positive","control_positive.pval","P2_negative","P2_negative.pval","P2_positive","P2_positive.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
6,"6_139.98_0.3","NA_[6_139.98_0.3]",139.982493500839,0.29572558,3.60830155889946e-05,1.03696800382025e-05,9.76160129040338e-06,0.928828124413314,0.969525944263916,0.993679684321207,4.44269717404217,4.98423464378327,5.01047893494153,0.0320646428683346,0.0134405648215857,0.00275358919508014,1.00458206891979,0.98768439312688,1.9531380710384,0.983179397367621,1.94422947757626,1.97749208616634,0.00659542926496147,-0.0178779814282916,0.96579393968119,-0.024473410693253,0.959198510416229,0.983671921109482,"Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,0.1,0.1,-63.861,8.582,1,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE","C2H7NO3S2","[M - H2O + H]+","C(CSS(=O)(=O)O)N","Fatty acids","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,-1.34406227991274,0.864271457085828,-1.38942503594182,0.834331337325349,-1.40834895880057,0.812375249500998,0.0722666666666667,0.630738522954092
179,"179_214_0.5","NA_[179_214_0.5]",214.003725975823,0.49961653,0.0303531282845899,0.0753364501366276,0.0449683857298792,0.347432763298022,0.550802387763037,0.893693301405957,1.51779654258799,1.12299484766336,1.34709270240735,0.459129229502572,0.259004185717105,0.0488114972665159,1.05496748327104,0.859877823401038,1.71975564680208,0.815075191450355,1.63015038290071,2,0.0771985321584473,-0.217796407276272,0.782203592723728,-0.294994939434719,0.705005060565281,1,"Methyl 5,5-dichloro-3-oxo-4-pentenoate",NA,NA,0.024,0.024,-151.539,133.98,0.232,"InChI=1S/C6H6Cl2O3/c1-11-6(10)3-4(9)2-5(7)8/h2H,3H2,1H3","GPCRARQCGUBRIQ","C6H6Cl2O3","[M + H3N + H]+","COC(=O)CC(=O)C=C(Cl)Cl","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1.26693979201741,0.137724550898204,-1.00100150250438,0.734530938123752,0.68631738948861,0.231536926147705,0.0651714285714286,0.732534930139721
308,"308_137.99_1.3","NA_[308_137.99_1.3]",137.987456192027,1.3415357,0.00127043915585789,0.000947951369721256,0.00240815487491841,0.464857398259694,0.109209961932097,0.295278282131511,2.89604612943921,3.02321394156851,2.61831558586956,0.332680252802717,0.961737744279549,0.529768494441279,0.927652295891727,0.850765831709665,1.70153166341933,0.917117152059486,1.83423430411897,2,-0.108343941465572,-0.233166001660339,0.766833998339661,-0.124822060194767,0.875177939805233,1,"1-(2,2-Dichloroethylamino)ethenol",NA,NA,0.115,0.115,-54.766,7.591,1,"InChI=1S/C4H7Cl2NO/c1-3(8)7-2-4(5)6/h4,7-8H,1-2H2","ZDXIOIDDAPSCJQ","C4H7Cl2NO","[M - H2O + H]+","C=C(NCC(Cl)Cl)O","Fatty acids","Halogenated fatty acids","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0.412638740863523,0.255489021956088,1.9042342233658,0.0658682634730539,1.03641775532747,0.171656686626747,0.13842380952381,0.217564870259481
369,"369_163_1.9","NA_[369_163_1.9]",162.998427203822,1.873479,0.0155104731655195,0.00950787243095441,0.0136622448796929,0.889722404675525,0.715105231896893,0.93462494859983,1.80937495331214,2.02191665392158,1.86447793471295,0.0507454730436975,0.145630044535499,0.0293626302295074,0.967151990439252,0.909323165599075,1.75907909799014,0.940207097320957,1.81882384090552,1.93449277939734,-0.0481854641074954,-0.137134987981288,0.814820355869838,-0.0889495238737919,0.863005819977333,0.951955343851125,"Hex-5-yne-1-sulfonyl chloride",NA,NA,0.022,0.022,-150.415,5.587,0.401,"InChI=1S/C6H9ClO2S/c1-2-3-4-5-6-10(7,8)9/h1H,3-6H2","VYNDGSIDPUZLRH","C6H9ClO2S","[M - H2O + H]+","C#CCCCCS(=O)(=O)Cl","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0.461077844311377,-0.333370376544353,0.500998003992016,-0.762936548442884,0.562874251497006,0.084852380952381,0.57684630738523
398,"398_163_2.1","NA_[398_163_2.1]",162.998472609156,2.1198535,0.0106421337073285,0.00741869437647291,0.0072874744733582,0.793950598140345,0.803342191447202,0.999988965939792,1.97297128891908,2.12967251992124,2.13742295348152,0.100206519767518,0.0950994233372048,4.79205789933441e-06,1.0016289099694,0.928392705049971,1.82532709109477,0.926882896259783,1.82235863294973,1.96611528846139,0.00234810842507591,-0.107192908298868,0.868155012166468,-0.109541016723944,0.865806903741391,0.975347920465336,"Acetamide, 2,2'-dithiodi-",NA,NA,0.13,0.13,-96.039,13.261,1,"InChI=1S/C4H8N2O2S2/c5-3(7)1-9-10-2-4(6)8/h1-2H2,(H2,5,7)(H2,6,8)","WFVWTLVPOUCKBR","C4H8N2O2S2","[M - H2O + H]+","C(C(=O)N)SSCC(=O)N","Amino acids and Peptides","Imidazole alkaloids","Histidine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,-1.34406227991274,0.802395209580838,0,0.44311377245509,-0.762936548442884,0.520958083832335,0.0892761904761905,0.516966067864271
431,"431_470.37_2.3","NA_[431_470.37_2.3]",470.370824110273,2.3146868,0.0412376091783312,0.989634682525352,0.516332550474827,0.0108264417577846,0.00377013316487951,0.350135808280991,1.38470652163189,0.00452509292073186,0.287070495433123,1.96551425610566,2.42364330980721,0.455763471801096,0.859223428635732,0.537510690753589,0.828763530894645,0.625577321148056,0.964549502811566,1.54185497172665,-0.218894762742156,-0.895634645592142,-0.270967575158069,-0.676739882849986,-0.0520728124159128,0.624667070434073,NA,NA,NA,0.154,0.154,-284.843,19.814,1,"InChI=1S/C23H48O8/c1-16(24)6-3-7-19(27)13-20(28)9-5-11-22(30)15-23(31)14-21(29)10-4-8-18(26)12-17(2)25/h16-31H,3-15H2,1-2H3","JLTZPFHFOCOCED","C23H48O8","[M + H3N + H]+","CC(CCCC(CC(CCCC(CC(CC(CCCC(CC(C)O)O)O)O)O)O)O)O","Fatty acids","Fatty alcohols","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1.23278418180384,0.169660678642715,2.61775625263929,0.0239520958083832,2.18289454261203,0.0518962075848303,0.16962380952381,0.183632734530938
458,"458_324.23_2.4","NA_[458_324.23_2.4]",324.228503659493,2.44969,0.00499669997674979,0.741368096273769,0.477356459796857,0.000705664308427334,0.000508438441490955,0.854412908972892,2.30131672667384,0.129966107152393,0.321157195996016,3.15140184805411,3.29376162118598,0.0683321986894162,1.02827734335836,1.92038516441743,1.09129224156576,1.86757510201035,1.06128200588529,0.568267377704312,0.0402294356632567,0.941395695876863,0.126037498544713,0.901166260213606,0.0858080628814564,-0.815358197332149,"Barbituric acid, 1,3-dicyclohexyl-5-methyl-",NA,NA,0.081,0.081,-218.498,58.599,0.99,"InChI=1S/C17H26N2O3/c1-12-15(20)18(13-8-4-2-5-9-13)17(22)19(16(12)21)14-10-6-3-7-11-14/h12-14H,2-11H2,1H3","ILCHAUPJKKIXPX","C17H26N2O3","[M + H3N + H]+","CC1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3","Alkaloids","Piperidine alkaloids","Lysine alkaloids","323.220891788","InChI=1S/C17H29N3O3/c1-4-11(2)15(19-3)16(21)20-14(17(22)23)10-7-12-5-8-13(18)9-6-12/h5-6,8-9,11-15,19H,4,7,10,18H2,1-3H3,(H,20,21)(H,22,23)","ATAHFPOIIFBWFN-UHFFFAOYSA-N","ATAHFPOIIFBWFN","CCC(C)C(NC)C(=O)NC(CCC1C=CC(N)C=C1)C(=O)O","C17H29N3O3","Stravidin","http://www.wikidata.org/entity/Q82921572","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Dipeptides","Streptomyces venezuelae","['Bacteria']","['Unknown']","['Actinobacteria']","['Unknown']","['Streptomycetales']","['Streptomycetaceae']","['Unknown']","['Streptomyces']","['Streptomyces venezuelae']","nan","906605.0","http://www.wikidata.org/entity/Q7623398",0,0,1,0,1,-1.34406227991274,0.794411177644711,-1.34406227991274,0.788423153692615,-1.73048326707831,0.900199600798403,0.0853095238095238,0.574850299401198
510,"510_188.13_2.7","NA_[510_188.13_2.7]",188.128575183362,2.730464,0.0473427168989214,0.672507328333056,0.411835532746955,0.061557983079702,0.11373421562041,0.845702183094219,1.32474682244513,0.172302978779432,0.385276185619406,1.21071561807554,0.944108863194961,0.0727825483202298,0.93557048836244,1.58696532474159,0.817433245253065,1.69625415132462,0.87372705255362,0.515092064400443,-0.096081740854848,0.666270605570778,-0.290827175499444,0.762352346425626,-0.194745434644597,-0.957097781070223,"2,5,8-Nonanetrione",NA,NA,0.104,0.104,-93.497,48.438,0.994,"InChI=1S/C9H14O3/c1-7(10)3-5-9(12)6-4-8(2)11/h3-6H2,1-2H3","OCLVFADSCVQCER","C9H14O3","[M + H3N + H]+","CC(=O)CCC(=O)CCC(=O)C","Fatty acids","Unsaturated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,-1.00100150250438,0.728542914171657,1.00100150250438,0.231536926147705,-0.200008000480032,0.413173652694611,0.076952380952381,0.654690618762475
529,"529_139.98_2.8","NA_[529_139.98_2.8]",139.982633626541,2.8393047,0.00242089590950045,0.00760697396890442,0.00560142196043523,0.0800297489954511,0.119256374168763,0.949744025893246,2.61602388338,2.11878806989991,2.25170171028323,1.09674854522102,0.923518398934907,0.0223934295760931,1.02448048317756,0.836042270681753,1.67208454136351,0.816064614611946,1.63212922922389,2,0.0348925006096271,-0.258352207412266,0.741647792587734,-0.293244708021893,0.706755291978107,1,"Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester",NA,NA,0.084,0.084,-57.392,16.37,1,"InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)","MXTPRJXPLFGHEE","C2H7NO3S2","[M - H2O + H]+","C(CSS(=O)(=O)O)N","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,-1.00100150250438,0.730538922155689,0,0.483033932135729,-1.00100150250438,0.67065868263473,0.0562984126984127,0.832335329341317
618,"618_186.15_3.2","NA_[618_186.15_3.2]",186.149328559216,3.2347343,0.0460937265759667,0.70394414702698,0.160792900078927,0.00573519024844427,0.00180786328978921,0.228630400050142,1.3363581787066,0.152461797676426,0.793733131735695,2.24145217105319,2.74283441386894,0.640866023738457,1.10492190374218,1.91191220076588,1.205229735181,1.73035957952373,1.09078273414537,0.630379226984484,0.143944403041577,0.935016273094794,0.269308172360458,0.791071870053217,0.12536376931888,-0.665708100734337,"p-Mentha-1(7),8-dien-10-yl hydroperoxide",NA,NA,0.019,0.019,-98.094,178.243,1,"InChI=1S/C10H16O2/c1-8-3-5-10(6-4-8)9(2)7-12-11/h10-11H,1-7H2","IDHJELSAQZNLMQ","C10H16O2","[M + H3N + H]+","C=C1CCC(CC1)C(=C)COO","Fatty acids","Unsaturated fatty acids","Fatty Acids and Conjugates","326.318480584","InChI=1S/C21H42O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23-2/h3-20H2,1-2H3","QGBRLVONZXHAKJ-UHFFFAOYSA-N","QGBRLVONZXHAKJ","CCCCCCCCCCCCCCCCCCCC(=O)OC","C21H42O2","Methyl arachidate","http://www.wikidata.org/entity/Q63398929","Fatty acids","Fatty esters","Fatty acids","Monoterpenoids","Wax monoesters","Lepidium meyenii","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Lepidieae']","['Lepidium']","['Lepidium meyenii']","nan","681784.0","http://www.wikidata.org/entity/Q795158",6,0,1,0,1,-1.34406227991274,0.806387225548902,2.14793159805948,0.0439121756487026,0.891827726902054,0.221556886227545,0.191990476190476,0.0858283433133733
