feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality
4	XDINYGSGZCMRLV	sirius	CC(=O)NC(CCl)Cl																																																																																												1.0	1.0	0.63	0.63	-42.094	1.0	0.059	8.715	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)	N-(1,2-dichloroethyl)acetamide	CC(=O)NC(CCl)Cl	0.9	129031291	PUBCHEM:(129031291)	2.0	137.987	11.0	0.18	7.07666716254413e+17	7.076664949629222e+17	
6	MXTPRJXPLFGHEE	sirius	C(CSS(=O)(=O)O)N																																																																																												1.0	1.0	0.1	0.1	-63.861	1.0	0.332	8.582	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)	Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester	C(CSS(=O)(=O)O)N	-3.7	5232348;7061596;76242;3784204	NORMAN:(NS00028679 NS00088499);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);MESH:(76242);PUBCHEM:(5232348 7061596 76242 3784204);DSSTox:(DTXSID8068969 DTXSID9062720);PUBMED:(null)	137506324550.0	139.982	18.0	0.296	7.0766671425373e+17	7.07666495139083e+17	
7	CTRMWFGTNATESO	sirius	C1=CS(=S)(=S)C(=C1[N+](=O)[O-])[N+](=O)[O-]																																																																																												1.0	3.0	0.004	0.004	-82.271	0.083	0.333	49.868	C4H2N2O4S3	[M + H3N + H]+	C4H6N3O4S3+	InChI=1S/C4H2N2O4S3/c7-5(8)3-1-2-13(11,12)4(3)6(9)10/h1-2H	2,3-Dinitro-1,1-bis(sulfanylidene)thiophene	C1=CS(=S)(=S)C(=C1[N+](=O)[O-])[N+](=O)[O-]	3.2	153840778	PUBCHEM:(153840778)	2.0	255.952	20.0	0.333	7.076667343612243e+17	7.076664952145805e+17	
8	XEPPGVOBKVUOJE	sirius	C1=C[C](C=CC1=O)S																																																																																												1.0	3.0	0.014	0.014	-43.962	0.23	0.333	21.376	C6H5OS	[M + H3N + H]+	C6H9NOS+	InChI=1S/C6H5OS/c7-5-1-3-6(8)4-2-5/h1-4,8H	4-Mercaptophenoxyradical	C1=C[C](C=CC1=O)S	1.0	101186080	PUBCHEM:(101186080)	2.0	143.04	20.0	0.331	7.076667170219708e+17	7.076664952858836e+17	
9	HHMFJCVUFBFVNG	sirius	C(C(F)F)N=C=O																																																																																												1.0	2.0	0.075	0.075	-56.939	0.017	0.083	14.536	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	InChI=1S/C3H3F2NO/c4-3(5)1-6-2-7/h3H,1H2	1,1-Difluoro-2-isocyanatoethane	C(C(F)F)N=C=O	1.9	22392485	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(22392485);DSSTox:(DTXSID00625398)	137506062338.0	130.008	20.0	0.338	7.076667653319668e+17	7.076664953571868e+17	
11	RDWIWGLYYQZMFQ	sirius	C(C(F)F)(C(=O)O)N																																																																																												1.0	1.0	0.039	0.039	-104.812	0.996	1.0	33.312	C3H5F2NO2	[M + Na]+	C3H5F2NNaO2+	InChI=1S/C3H5F2NO2/c4-2(5)1(6)3(7)8/h1-2H,6H2,(H,7,8)	3,3-Difluoro-D-alanine	C(C(F)F)(C(=O)O)N	-2.5	13587587;189179;11804757	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(189179);PUBCHEM:(13587587 189179 11804757);DSSTox:(DTXSID00975143);PUBMED	137506062406.0	148.019	20.0	0.331	7.076667189890994e+17	7.076664955081818e+17	
12	RHGKLRLOHDJJDR	gnps	N[C@@H](CCCNC(N)=O)C(O)=O	CCMSLIB00005883648	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.802171	5267250.0	0.0	506.798	6.0	0.0892487	176.014	1.0	temp/spectra_filtered.mgf12	1.0	CITRULLINE - 40.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	176.103	0.0	1.0	372-75-8		N[C@@H](CCCNC(N)=O)C(O)=O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1		1.0	Positive	GNPS-LIBRARY	176.103	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H13N3O3	RHGKLRLOHDJJDR-BYPYZUCNSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883648																																																																							
12	YWGZLZUVGYEJQI	sirius	CC=C[Si]OC(=O)CC#N																																																																																												1.0	1.0	0.013	0.013	-61.831	1.0	1.0	97.44	C6H7NO2Si	[M + Na]+	C6H7NNaO2Si+	InChI=1S/C6H7NO2Si/c1-2-5-10-9-6(8)3-4-7/h2,5H,3H2,1H3		CC=C[Si]OC(=O)CC#N	0.0	88433801	PUBCHEM:(88433801)	2.0	176.014	20.0	0.33	7.07666724760462e+17	7.076664955836792e+17	
13	FQFWORTWVXLLPV	sirius	CCNS(=O)(=O)NCC(=C)Cl																																																																																												1.0	1.0	0.067	0.067	-68.372	0.345	0.333	46.314	C5H11ClN2O2S	[M + H]+	C5H12ClN2O2S+	InChI=1S/C5H11ClN2O2S/c1-3-7-11(9,10)8-4-5(2)6/h7-8H,2-4H2,1H3	2-chloro-N-(ethylsulfamoyl)prop-2-en-1-amine	CCNS(=O)(=O)NCC(=C)Cl	0.5	115638662	PUBCHEM:(115638662)	2.0	199.03	20.0	0.332	7.076667300788397e+17	7.076664956507881e+17	
15	SWTLYSQAVQWLET	sirius	CN1C=NC(=C1Cl)S(=O)(=O)Cl																																																																																												1.0	8.0	0.066	0.066	-103.006	0.013	0.016	15.196	C4H4Cl2N2O2S	[M + H3N + H]+	C4H8Cl2N3O2S+	InChI=1S/C4H4Cl2N2O2S/c1-8-2-7-4(3(8)5)11(6,9)10/h2H,1H3	5-chloro-1-methyl-1H-imidazole-4-sulfonyl chloride	CN1C=NC(=C1Cl)S(=O)(=O)Cl	1.3	16771964	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(16771964);DSSTox:(DTXSID90588201)	137506062338.0	231.971	21.0	0.348	7.076667706797048e+17	7.076664958479204e+17	
